id,brand,model,model_year,shape,image_url,external_ref,community_status,added_by,created_at
198d76b4-8077-46de-8edd-bd3f884ce553,Academy,GRADUATE,2019,,,catalog:academy--graduate,unverified,,2026-09-04T18:50:01.363043+00:00
c3e60793-be24-4b23-af07-2a21f632ec45,Academy,HYBRID 2.0,2025,,,catalog:academy--hybrid-2-0,unverified,,2026-09-04T18:50:01.363043+00:00
5b436feb-c31c-4d00-bd9b-2ee71882a75f,Academy,Icon Series,2013,,,catalog:academy--icon-series,unverified,,2026-09-04T18:50:01.363043+00:00
4a16780d-a299-47c7-85db-ac7c25555d8d,Academy,Master Series,2020,,,catalog:academy--master-series,unverified,,2026-09-04T18:50:01.363043+00:00
ee4f196d-b060-49c9-b27c-cd6acebc0a68,Academy,MASTERS,2025,,,catalog:academy--masters,unverified,,2026-09-04T18:50:01.363043+00:00
4719f49e-631f-4b5b-9959-d5ca2a196467,Academy,Propa-Camba,2015,,,catalog:academy--propa-camba,unverified,,2026-09-04T18:50:01.363043+00:00
149cc590-8a5d-46d0-9fbf-beb6eb71532c,Academy,PROPACAMBA,2020,,,catalog:academy--propacamba,unverified,,2026-09-04T18:50:01.363043+00:00
63c9524f-647f-429d-ab88-b921dd3ea567,Academy,PROPAGANDA,2013,,,catalog:academy--propaganda,unverified,,2026-09-04T18:50:01.363043+00:00
690d2dc9-e0c2-44ab-b106-95f3d4fa6f3b,Academy,PROPAGANDA Cookies SF Colab,2025,,,catalog:academy--propaganda-cookies-sf-colab,unverified,,2026-09-04T18:50:01.363043+00:00
51ba6c96-7505-461a-87ec-c00820d807b3,Academy,Rhythm Series,2013,,,catalog:academy--rhythm-series,unverified,,2026-09-04T18:50:01.363043+00:00
7c6730ea-959e-40a2-b644-7243dd1a472b,Academy,Serenity,2013,,,catalog:academy--serenity,unverified,,2026-09-04T18:50:01.363043+00:00
413527ed-7d58-4973-acb0-e2c3fb7ee4d4,Academy,Team Series,2015,,,catalog:academy--team-series,unverified,,2026-09-04T18:50:01.363043+00:00
f031aeba-c98c-44d5-ad6f-a98eb052f28f,Academy,Team Series The Bro Model,2013,,,catalog:academy--team-series-the-bro-model,unverified,,2026-09-04T18:50:01.363043+00:00
e9a0d143-1748-47de-9ef2-e11c3de2cdb4,Academy,Tempo Series,2015,,,catalog:academy--tempo-series,unverified,,2026-09-04T18:50:01.363043+00:00
ca0eccf4-e01f-4996-bd5d-800867a9d49c,Aggression,Assault,1993,,,catalog:aggression--assault,unverified,,2026-09-02T23:05:13.572077+00:00
e67c0c71-049b-4d03-a6e7-a0ceaebf17eb,Aggression,Stealth,1993,,,catalog:aggression--stealth,unverified,,2026-09-02T23:05:13.572077+00:00
76eb8c8e-73e4-404b-a11c-6d1526c80983,Aggression,TR60,1992,,,catalog:aggression--tr60,verified,,2026-09-02T23:05:13.572077+00:00
fc20dc4b-03c4-47bd-b7b4-254be649fa0f,Airwalk,A-1,2000,,,catalog:airwalk--a-1,unverified,,2026-09-02T23:05:13.572077+00:00
cc05afc6-affc-4046-b496-23599d09a712,Allian,Angel,2015,,,catalog:allian--angel,unverified,,2026-09-04T18:50:02.038797+00:00
693086d2-8c9b-46d8-b85e-98fd73154d0f,Allian,Atlantis,2015,,,catalog:allian--atlantis,unverified,,2026-09-04T18:50:02.038797+00:00
5f56ab6a-2370-4162-85ac-d5b75ef65c63,Allian,Curver,2025,,,catalog:allian--curver,unverified,,2026-09-04T18:50:02.038797+00:00
41e9718a-c97c-4f7c-92f4-2e172eb57ec5,Allian,Cuver,2021,,,catalog:allian--cuver,unverified,,2026-09-04T18:50:02.038797+00:00
e33cf13c-d284-433d-b9be-f994f9592e89,Allian,Damage,2015,,,catalog:allian--damage,unverified,,2026-09-04T18:50:02.038797+00:00
c9cb9bc6-eb3a-4aa4-8b32-ca479a715a8b,Allian,Dreams,2015,,,catalog:allian--dreams,unverified,,2026-09-04T18:50:02.038797+00:00
cf127332-8b2c-4690-8bb6-07a503cd190a,Allian,Free Line,2025,,,catalog:allian--free-line,unverified,,2026-09-04T18:50:02.038797+00:00
427ff045-02ee-45bf-8911-097c336ecbcc,Allian,Grind,2015,,,catalog:allian--grind,unverified,,2026-09-04T18:50:02.038797+00:00
5f0bf846-4028-4b5e-a81b-8942de449718,Allian,Nirvana,2015,,,catalog:allian--nirvana,unverified,,2026-09-04T18:50:02.038797+00:00
1a6745be-97c4-4b1c-9846-8e83fca20d5c,Allian,Prism,2021,,,catalog:allian--prism,unverified,,2026-09-04T18:50:02.038797+00:00
f358014d-e3c5-4278-9372-5393be7c587c,Allian,Prism / Prism Invisible / Prism LTD,2017,,,catalog:allian--prism-prism-invisible-prism-ltd,unverified,,2026-09-04T18:50:02.038797+00:00
501e3c27-2368-413e-b2ab-896f6df53514,Allian,Prism / Prism Limited,2015,,,catalog:allian--prism-prism-limited,unverified,,2026-09-04T18:50:02.038797+00:00
91a82d23-7ecd-4bef-9322-925d91775a32,Allian,Prism Eagle,2021,,,catalog:allian--prism-eagle,unverified,,2026-09-04T18:50:02.038797+00:00
564d0c21-052f-4046-843e-e3473b20aa17,Allian,Prism Girl,2015,,,catalog:allian--prism-girl,unverified,,2026-09-04T18:50:02.038797+00:00
a99c80d5-0082-4b4e-8865-4de6c2b60992,Allian,Prism Invisible,2021,,,catalog:allian--prism-invisible,unverified,,2026-09-04T18:50:02.038797+00:00
95144da8-44fe-4957-9fd3-a90198e0cae1,Allian,Vivian,2015,,,catalog:allian--vivian,unverified,,2026-09-04T18:50:02.038797+00:00
be4b41b4-d661-417d-9688-d8635f69b7cd,Aluflex,ERIC HOLDRIDGE,2026,,,catalog:aluflex--eric-holdridge,unverified,,2026-09-04T18:50:02.038797+00:00
1ba6c4dd-efeb-4756-b995-1f1afcafd388,Aluflex,LOLA,2026,,,catalog:aluflex--lola,unverified,,2026-09-04T18:50:02.038797+00:00
350809f9-4c03-4ecf-8a90-6bc10f7e9933,AME Snowboard,AWAKN 164 ART,2026,,,catalog:ame-snowboard--awakn-164-art,unverified,,2026-09-04T18:50:02.038797+00:00
1652b4af-e9cd-4a7b-aa7e-a1f1d8ac343d,AME Snowboard,BLACK SWAN 169 ART,2026,,,catalog:ame-snowboard--black-swan-169-art,unverified,,2026-09-04T18:50:02.038797+00:00
8deb3fd6-b18d-49c3-b47b-515d23b79f9a,AME Snowboard,BLACK SWAN 169 WOOD SERIE,2026,,,catalog:ame-snowboard--black-swan-169-wood-serie,unverified,,2026-09-04T18:50:02.038797+00:00
7fb19ba7-ca0e-43c7-80b1-e17298c3ad62,AME Snowboard,EMIT 159 FACTORY,2026,,,catalog:ame-snowboard--emit-159-factory,unverified,,2026-09-04T18:50:02.038797+00:00
3696aca7-0321-4e08-ae81-64ef277bd30f,AME Snowboard,HIGHSOLATOR 168 ART,2026,,,catalog:ame-snowboard--highsolator-168-art,unverified,,2026-09-04T18:50:02.038797+00:00
bd8178c3-236d-4a66-b5c7-8caba707fca2,AME Snowboard,HIGHSOLATOR 168 WOOD,2026,,,catalog:ame-snowboard--highsolator-168-wood,unverified,,2026-09-04T18:50:02.038797+00:00
0d95785d-427d-42d0-bbbf-736dae1c0960,AME Snowboard,HIGHSOLATOR 170 WIDE ART,2026,,,catalog:ame-snowboard--highsolator-170-wide-art,unverified,,2026-09-04T18:50:02.038797+00:00
9eb8e252-a81d-48a3-b69f-174ede2f13da,AME Snowboard,MAKOBLAST 185 WOOD,2026,,,catalog:ame-snowboard--makoblast-185-wood,unverified,,2026-09-04T18:50:02.038797+00:00
aa6d397c-6bf0-4164-99c0-a3affb9cc60a,AME Snowboard,MTN 145,2026,,,catalog:ame-snowboard--mtn-145,unverified,,2026-09-04T18:50:02.038797+00:00
