brand,model,first_year,source
Academy,GRADUATE,2019,catalog:academy--graduate
Academy,HYBRID 2.0,2025,catalog:academy--hybrid-2-0
Academy,Icon Series,2013,catalog:academy--icon-series
Academy,Master Series,2020,catalog:academy--master-series
Academy,MASTERS,2025,catalog:academy--masters
Academy,Propa-Camba,2015,catalog:academy--propa-camba
Academy,PROPACAMBA,2020,catalog:academy--propacamba
Academy,PROPAGANDA,2013,catalog:academy--propaganda
Academy,PROPAGANDA Cookies SF Colab,2025,catalog:academy--propaganda-cookies-sf-colab
Academy,Rhythm Series,2013,catalog:academy--rhythm-series
Academy,Serenity,2013,catalog:academy--serenity
Academy,Team Series,2015,catalog:academy--team-series
Academy,Team Series The Bro Model,2013,catalog:academy--team-series-the-bro-model
Academy,Tempo Series,2015,catalog:academy--tempo-series
Aggression,Assault,1993,catalog:aggression--assault
Aggression,Stealth,1993,catalog:aggression--stealth
Aggression,TR60,1992,catalog:aggression--tr60
Airwalk,A-1,2000,catalog:airwalk--a-1
Allian,Angel,2015,catalog:allian--angel
Allian,Atlantis,2015,catalog:allian--atlantis
Allian,Curver,2025,catalog:allian--curver
Allian,Cuver,2021,catalog:allian--cuver
Allian,Damage,2015,catalog:allian--damage
Allian,Dreams,2015,catalog:allian--dreams
Allian,Free Line,2025,catalog:allian--free-line
Allian,Grind,2015,catalog:allian--grind
Allian,Nirvana,2015,catalog:allian--nirvana
Allian,Prism,2021,catalog:allian--prism
Allian,Prism / Prism Invisible / Prism LTD,2017,catalog:allian--prism-prism-invisible-prism-ltd
Allian,Prism / Prism Limited,2015,catalog:allian--prism-prism-limited
Allian,Prism Eagle,2021,catalog:allian--prism-eagle
Allian,Prism Girl,2015,catalog:allian--prism-girl
Allian,Prism Invisible,2021,catalog:allian--prism-invisible
Allian,Vivian,2015,catalog:allian--vivian
Aluflex,ERIC HOLDRIDGE,2026,catalog:aluflex--eric-holdridge
Aluflex,LOLA,2026,catalog:aluflex--lola
AME Snowboard,AWAKN 164 ART,2026,catalog:ame-snowboard--awakn-164-art
AME Snowboard,BLACK SWAN 169 ART,2026,catalog:ame-snowboard--black-swan-169-art
AME Snowboard,BLACK SWAN 169 WOOD SERIE,2026,catalog:ame-snowboard--black-swan-169-wood-serie
AME Snowboard,EMIT 159 FACTORY,2026,catalog:ame-snowboard--emit-159-factory
AME Snowboard,HIGHSOLATOR 168 ART,2026,catalog:ame-snowboard--highsolator-168-art
AME Snowboard,HIGHSOLATOR 168 WOOD,2026,catalog:ame-snowboard--highsolator-168-wood
AME Snowboard,HIGHSOLATOR 170 WIDE ART,2026,catalog:ame-snowboard--highsolator-170-wide-art
AME Snowboard,MAKOBLAST 185 WOOD,2026,catalog:ame-snowboard--makoblast-185-wood
AME Snowboard,MTN 145,2026,catalog:ame-snowboard--mtn-145
AME Snowboard,QUANTIC 175 WOOD,2026,catalog:ame-snowboard--quantic-175-wood
AME Snowboard,ROAM 173 ART,2026,catalog:ame-snowboard--roam-173-art
AME Snowboard,WES 160 FACTORY,2026,catalog:ame-snowboard--wes-160-factory
AMICSS,AFX,2023,catalog:amicss--afx
AMICSS,AGGRESSOR,2020,catalog:amicss--aggressor
AMICSS,ARZ,2027,catalog:amicss--arz
AMICSS,DEX,2023,catalog:amicss--dex
AMICSS,DFX,2025,catalog:amicss--dfx
AMICSS,DMT,2020,catalog:amicss--dmt
AMICSS,DNA,2020,catalog:amicss--dna
AMICSS,DNA Ti,2020,catalog:amicss--dna-ti
AMICSS,LV,2026,catalog:amicss--lv
AMICSS,RCI,2020,catalog:amicss--rci
AMICSS,RCJ,2025,catalog:amicss--rcj
AMICSS,RCV,2020,catalog:amicss--rcv
AMICSS,World Cup,2020,catalog:amicss--world-cup
AMICSS,World Cup Factory Model,2025,catalog:amicss--world-cup-factory-model
AMICSS,XFIT,2025,catalog:amicss--xfit
AMICSS,XLAY,2023,catalog:amicss--xlay
Amplid,AGL Board,2013,catalog:amplid--agl-board
Amplid,Aloha Vibes,2019,catalog:amplid--aloha-vibes
Amplid,Big Kahuna,2023,catalog:amplid--big-kahuna
Amplid,Cab Driver,2025,catalog:amplid--cab-driver
Amplid,Creamer,2013,catalog:amplid--creamer
Amplid,Dada,2019,catalog:amplid--dada
Amplid,Deceleration,2013,catalog:amplid--deceleration
Amplid,Dopamine,2013,catalog:amplid--dopamine
Amplid,Freequencer,2022,catalog:amplid--freequencer
Amplid,Gogo,2015,catalog:amplid--gogo
Amplid,HiDef,2013,catalog:amplid--hidef
Amplid,Hifi,2016,catalog:amplid--hifi
Amplid,Kill Switch,2021,catalog:amplid--kill-switch
Amplid,Kodama,2025,catalog:amplid--kodama
Amplid,Lab Carbon Split,2015,catalog:amplid--lab-carbon-split
Amplid,Libertine,2013,catalog:amplid--libertine
Amplid,Liquorice,2013,catalog:amplid--liquorice
Amplid,LoBro,2013,catalog:amplid--lobro
Amplid,Lovelife,2015,catalog:amplid--lovelife
Amplid,Mahalo,2021,catalog:amplid--mahalo
Amplid,Memory Stick,2025,catalog:amplid--memory-stick
Amplid,Metamorph,2025,catalog:amplid--metamorph
Amplid,Millisurf,2018,catalog:amplid--millisurf
Amplid,Mood Bender,2026,catalog:amplid--mood-bender
Amplid,Morning Glory,2014,catalog:amplid--morning-glory
Amplid,Morning Split,2014,catalog:amplid--morning-split
Amplid,Ohana Vibes,2026,catalog:amplid--ohana-vibes
Amplid,Paradigma,2013,catalog:amplid--paradigma
Amplid,Pentaquark,2018,catalog:amplid--pentaquark
Amplid,Pillow Talk,2015,catalog:amplid--pillow-talk
Amplid,Pocketknife,2014,catalog:amplid--pocketknife
Amplid,Psychonaut,2025,catalog:amplid--psychonaut
Amplid,Singular,2024,catalog:amplid--singular
Amplid,Singular Twin,2023,catalog:amplid--singular-twin
Amplid,Slogan,2013,catalog:amplid--slogan
Amplid,Snommelier,2024,catalog:amplid--snommelier
Amplid,Soulmate,2024,catalog:amplid--soulmate
Amplid,Souly Grail,2024,catalog:amplid--souly-grail
Amplid,Spray Tray,2021,catalog:amplid--spray-tray
Amplid,Stereo,2015,catalog:amplid--stereo
Amplid,Surf Shuttle,2021,catalog:amplid--surf-shuttle
Amplid,Surfari,2025,catalog:amplid--surfari
Amplid,The 20,2025,catalog:amplid--the-20
Amplid,Ticket,2021,catalog:amplid--ticket
Amplid,Ticket Twin,2021,catalog:amplid--ticket-twin
Amplid,Time Machine,2026,catalog:amplid--time-machine
Amplid,Tour Operator,2020,catalog:amplid--tour-operator
Amplid,UNW8,2013,catalog:amplid--unw8
Amplid,Wasabi,2023,catalog:amplid--wasabi
Apocalypse / A Snowboards / APO,Blend,2018,catalog:apocalypse-a-snowboards-apo--blend
Apocalypse / A Snowboards / APO,Contact,2018,catalog:apocalypse-a-snowboards-apo--contact
Apocalypse / A Snowboards / APO,dbz,2018,catalog:apocalypse-a-snowboards-apo--dbz
Apocalypse / A Snowboards / APO,Empire,2018,catalog:apocalypse-a-snowboards-apo--empire
Apocalypse / A Snowboards / APO,Gem,2018,catalog:apocalypse-a-snowboards-apo--gem
Apocalypse / A Snowboards / APO,Hype,2018,catalog:apocalypse-a-snowboards-apo--hype
Apocalypse / A Snowboards / APO,Iconic Eero Niemela,2018,catalog:apocalypse-a-snowboards-apo--iconic-eero-niemela
Apocalypse / A Snowboards / APO,Iconic Sage Kotsenburg,2018,catalog:apocalypse-a-snowboards-apo--iconic-sage-kotsenburg
Apocalypse / A Snowboards / APO,Iconic Spencer O'Brien,2018,catalog:apocalypse-a-snowboards-apo--iconic-spencer-obrien
Apocalypse / A Snowboards / APO,Jimi Scott,1991,https://retrosnow.com/shop/apocalypse/91-apocalypse/apocalypse-jimi-scott/
Apocalypse / A Snowboards / APO,Line,2018,catalog:apocalypse-a-snowboards-apo--line
Apocalypse / A Snowboards / APO,Selekta,2018,catalog:apocalypse-a-snowboards-apo--selekta
Apocalypse / A Snowboards / APO,Spray,2018,catalog:apocalypse-a-snowboards-apo--spray
Apocalypse / A Snowboards / APO,Step Up,2018,catalog:apocalypse-a-snowboards-apo--step-up
Apocalypse / A Snowboards / APO,Supreme,2018,catalog:apocalypse-a-snowboards-apo--supreme
Apocalypse / A Snowboards / APO,Talent,2018,catalog:apocalypse-a-snowboards-apo--talent
Arbor,A-Frame,2004,seed:linestry-research-2026-06
Arbor,Abacus,2008,catalog:arbor--abacus
Arbor,Alt,2008,catalog:arbor--alt
Arbor,Annex,2020,catalog:arbor--annex
Arbor,Astrowaste,2027,catalog:arbor--astrowaste
Arbor,Blacklist,2012,catalog:arbor--blacklist
Arbor,Booger,2014,catalog:arbor--booger
Arbor,Bryan Iguchi Pro,2027,catalog:arbor--bryan-iguchi-pro
Arbor,Cadence,2008,catalog:arbor--cadence
Arbor,Candle Rain Camber,2024,catalog:arbor--candle-rain-camber
Arbor,Carbon Coda,2025,catalog:arbor--carbon-coda
Arbor,Carter,2024,catalog:arbor--carter
Arbor,Cask,2019,catalog:arbor--cask
Arbor,Cavet,2025,catalog:arbor--cavet
Arbor,Cheater Rocker,2023,catalog:arbor--cheater-rocker
Arbor,Clovis,2017,catalog:arbor--clovis
Arbor,Coda,2009,seed:linestry-research-2026-06
Arbor,Cosa Nostra,2016,catalog:arbor--cosa-nostra
Arbor,Cross,2003,catalog:arbor--cross
