brand,model,first_year,source
Barfoot,All Mountain,2000,
Barfoot,Freakstyle,1986,
Barfoot,Freestyle,1981,
Barfoot,Jon Boyer Pro Model,1993,
Barfoot,Mark Partain Pro,1995,
Barfoot,Stealth,1997,
Barfoot,Twin Tip,1985,
Barfoot,Twin Tip Freestyle,1989,
Burton,Custom,2003,
Burton,Fish,2005,
Burton,Flight Attendant,2014,
Burton,Process,2010,
Capita,DOA,2012,
Capita,Mercury,2015,
Capita,Ultrafear,2018,
Gnu,Carbon Credit,2009,
Gnu,Space Case,2014,
Jones,Explorer,2015,
Jones,Flagship,2018,
K2,Party Platter,2011,
K2,Raygun,2004,
Lib Tech,Orca,2016,
Lib Tech,Skate Banana,2007,
Lib Tech,TRS,2011,
Never Summer,Proto Type Two,2013,
Ride,Berzerker,2007,
Rome,Mod Rocker,2013,
Rome,Ravine,2009,
Salomon,Assassin,2018,
Salomon,Huck Knife,2016,
Sims,Halfpipe,1998,
Sims,Switchblade,1996,
Arbor Snowboards,,,
Bataleon Snowboards,,,
YES. Snowboards,,,
Winterstick,,,
Nidecker,,,
Nitro Snowboards,,,
Rossignol Snowboards,,,
Palmer Snowboards,,,
Kemper Snowboards,,,
Morrow Snowboards,,,
Forum Snowboards,,,
Signal Snowboards,,,
Slash Snowboards,,,
Korua Shapes,,,
Gentemstick,,,
Option Snowboards,,,
Prior Snowboards,,,
Endeavor Snowboards,,,
Hooger Booger,,,
Mervin Manufacturing,,,
