brand,model,catalog_year,first_year_before,first_year_after,confidence_before,confidence_after,catalog_url
Arbor,A-Frame,2014,2004,2004,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Blacklist,2014,2012,2012,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Booger,2014,2014,2014,likely,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Del Rey,2014,2009,2009,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Ethos,2014,2017,2014,likely,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Mystic,2014,2003,2003,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Poparazzi,2014,2012,2012,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Progression,2014,2001,2001,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Relapse,2014,2012,2012,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Roundhouse,2014,2006,2006,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Steepwater,2014,2014,2014,likely,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Wasteland,2014,2008,2008,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
