section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,page,price_eur,source_docId,source_url,caption,note
mens,Santa Cruz,Duo GLX LTD,Duo,QUALIFIED,verified,2004/05,2005,8,699.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Duo GLX LTD 163,printed 'Duo GLX LTD' = catalog 'Duo' + edition/graphic/spelling qualifier
mens,Santa Cruz,Guerilla Division Aaron K,Guerilla Division,QUALIFIED,verified,2004/05,2005,8,529.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Guerilla Division Aaron K 159w,printed 'Guerilla Division Aaron K' = catalog 'Guerilla Division' + edition/graphic/spelling qualifier
mens,Santa Cruz,Guerilla Division Eirik H,Guerilla Division,QUALIFIED,verified,2004/05,2005,8,499.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Guerilla Division Eirik H 157,printed 'Guerilla Division Eirik H' = catalog 'Guerilla Division' + edition/graphic/spelling qualifier
mens,Santa Cruz,Duo Shield,Duo,QUALIFIED,verified,2004/05,2005,8,529.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Duo Shield 166,printed 'Duo Shield' = catalog 'Duo' + edition/graphic/spelling qualifier
mens,Santa Cruz,Respect Series Cardiel Decal LTD,Respect Series,QUALIFIED,verified,2004/05,2005,8,499.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Respect Series Cardiel Decal LTD 156,printed 'Respect Series Cardiel Decal LTD' = catalog 'Respect Series' + edition/graphic/spelling qualifier
mens,Santa Cruz,Park Wide Deathmask,Park Wide,QUALIFIED,verified,2004/05,2005,8,479.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC Park Wide Deathmask 164w,printed 'Park Wide Deathmask' = catalog 'Park Wide' + edition/graphic/spelling qualifier
mens,F2,Eliminator LTD,Eliminator,QUALIFIED,verified,2004/05,2005,9,549.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Eliminator LTD 164w,printed 'Eliminator LTD' = catalog 'Eliminator' + edition/graphic/spelling qualifier
mens,F2,Eliminator,Eliminator,EXACT,verified,2004/05,2005,9,399.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Eliminator 161,
mens,Burton,T6,T6,EXACT,verified,2004/05,2005,10,689.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton T6 159,
mens,Burton,Jussi,Jussi,EXACT,verified,2004/05,2005,10,529.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Jussi 159,pro model: Jussi Oksanen
mens,Burton,Shaun White,Shaun White / TWC Pro,QUALIFIED,verified,2004/05,2005,10,529.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Shaun White 155,printed 'Shaun White' = catalog 'Shaun White / TWC Pro' + edition/graphic/spelling qualifier
mens,Burton,Dominant,Dominant,EXACT,verified,2004/05,2005,10,379.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Dominant 154,
mens,Burton,Custom X,Custom X,EXACT,verified,2004/05,2005,11,649.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Custom X 160,
mens,Burton,Baron,Baron,EXACT,verified,2004/05,2005,11,559.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Baron 167,
mens,Burton,Custom,Custom,EXACT,verified,2004/05,2005,11,549.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Custom 158,
mens,Burton,Triumph,Triumph,EXACT,verified,2004/05,2005,11,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Triumph 164,
mens,Burton,Canyon,Canyon,EXACT,verified,2004/05,2005,11,459.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Canyon 163,
mens,Burton,Bullet,Bullet,EXACT,verified,2004/05,2005,11,339.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Bullet 162,
mens,Burton,Clash,Clash,EXACT,verified,2004/05,2005,11,329.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Clash 158,
mens,Burton,Cruzer,Cruzer,EXACT,verified,2004/05,2005,11,269.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Cruzer 155,
mens,Atomic,Rapture,Rapture,EXACT,verified,2004/05,2005,12,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Rapture 159,
mens,Atomic,Alibi,Alibi,EXACT,verified,2004/05,2005,12,449.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Alibi 156,
mens,Atomic,Radon,Radon,EXACT,verified,2004/05,2005,13,349.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Radon 164,
mens,Atomic,Triarc,Triarc,EXACT,verified,2004/05,2005,13,349.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Triarc 160w,
mens,Atomic,Hatchet,Hatchet,EXACT,verified,2004/05,2005,13,299.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Hatchet 156,
mens,Rossignol,Jeremy Jones Pro,Jeremy Jones,QUALIFIED,verified,2004/05,2005,14,559.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Jeremy Jones Pro 164,printed 'Jeremy Jones Pro' = catalog 'Jeremy Jones' + edition/graphic/spelling qualifier
mens,Rossignol,Decoy,Decoy,EXACT,verified,2004/05,2005,14,529.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Decoy 157,
mens,Rossignol,Premier,Premier,EXACT,verified,2004/05,2005,14,519.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Premier 159,
mens,Rossignol,Alias,Alias,EXACT,verified,2004/05,2005,14,369.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Alias 157,
mens,Elan,Inverse,Inverse,EXACT,verified,2004/05,2005,15,529.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Elan Inverse 159,
mens,Elan,Vertigo,Vertigo,EXACT,verified,2004/05,2005,15,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Elan Vertigo 162,
mens,Elan,Answer,Answer,EXACT,verified,2004/05,2005,15,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Elan Answer 158,
