section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,page,price_eur,source_docId,source_url,caption,note
mens,Santa Cruz,TT Revolver,MODEL_NEW_CANDIDATE,yes,2004/05,2005,8,649.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC TT Revolver 159,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Santa Cruz,TT Viking,MODEL_NEW_CANDIDATE,yes,2004/05,2005,8,399.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,SC TT Viking 159,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,F2,Spin Air,MODEL_NEW_CANDIDATE,yes,2004/05,2005,9,499.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Spin Air 156,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Gimpl Pro,MODEL_NEW_CANDIDATE,yes,2004/05,2005,9,399.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Gimpl Pro 156,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Sonic,MODEL_NEW_CANDIDATE,yes,2004/05,2005,9,399.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Sonic 158,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Sniper,MODEL_NEW_CANDIDATE,yes,2004/05,2005,9,379.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Sniper 161,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Gothic,MODEL_NEW_CANDIDATE,yes,2004/05,2005,9,549.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Gothic 164w,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Burton,Seven,MODEL_NEW_CANDIDATE,yes,2004/05,2005,10,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Seven 158,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Burton,Un Inc Gigi,MODEL_NEW_CANDIDATE,yes,2004/05,2005,10,529.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Un Inc Gigi 158,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Burton,Un Inc Romain,MODEL_NEW_CANDIDATE,yes,2004/05,2005,10,529.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Un Inc Romain 156,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Burton,Un Inc Solberg,MODEL_NEW_CANDIDATE,yes,2004/05,2005,10,529.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Burton Un Inc Solberg 154,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Atomic,Firestarter,MODEL_NEW_CANDIDATE,yes,2004/05,2005,12,549.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Firestarter 165,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Atomic,Dreamraider,MODEL_NEW_CANDIDATE,yes,2004/05,2005,12,449.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Dreamraider 161,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Rossignol,Jonas Emery Pro,MODEL_NEW_CANDIDATE,yes,2004/05,2005,14,559.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Jonas Emery Pro 160,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Rossignol,Todd Richards Pro,MODEL_NEW_CANDIDATE,yes,2004/05,2005,14,559.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Todd Richards Pro 157,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Rossignol,Travis Rice Pro,MODEL_NEW_CANDIDATE,yes,2004/05,2005,14,419.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Travis Rice Pro 157,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Rossignol,Legion,MODEL_NEW_CANDIDATE,yes,2004/05,2005,14,299.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Rossignol Legion 159,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Elan,Artec 1.1,MODEL_NEW_CANDIDATE,yes,2004/05,2005,15,479.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Elan Artec 1.1 158,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Elan,Artec 1.2,MODEL_NEW_CANDIDATE,yes,2004/05,2005,15,479.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Elan Artec 1.2 156.5,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Nitro,Dark Horse,MODEL_NEW_CANDIDATE,yes,2004/05,2005,16,799.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Nitro Dark Horse 168 gold,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Nitro,Voltage,MODEL_NEW_CANDIDATE,yes,2004/05,2005,16,319.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Nitro Voltage 159 colour,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Hammer,Twenty One,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Twenty One 156,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Contact,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Contact 159 Heppu Pentti,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,PSM 2,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,519.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer PSM 2 157,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Twilight,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Twilight 166,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Private,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Private 166,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Condense,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Condense 159,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Broadline,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,399.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Broadline 163,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Hammer,Logo,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,17,339.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Logo 162,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
mens,Völkl,Squad Flex 3,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,599.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Squad Flex 3 159,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Völkl,Squad Flex 4,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,549.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Squad Flex 4 157,brand confirmed; specific model NOT in catalog (fuzzy token match spurious). Human to verify before add.
mens,Völkl,Sting,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,479.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Sting 161,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Völkl,Wall Pro,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,429.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Wall Pro 156,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Völkl,Pulse,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,379.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Pulse 162,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Völkl,Wall AM,MODEL_NEW_CANDIDATE,yes,2004/05,2005,20,299.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Wall AM 160,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Jeenyus,The Woods,BRAND_NEW,no,2004/05,2005,21,499.9,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Jeenyus The Woods 156,brand absent from v0.3 catalog
mens,Jeenyus,Rental,BRAND_NEW,no,2004/05,2005,21,399.9,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Jeenyus Rental 161,brand absent from v0.3 catalog
mens,Apo Snowboards,Amanite,BRAND_NEW,no,2004/05,2005,22,479.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Apo Amanite 160,brand absent from v0.3 catalog
mens,Apo Snowboards,Friedl Kolar Signature,BRAND_NEW,no,2004/05,2005,22,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Apo Friedl Kolar Signature 159,brand absent from v0.3 catalog
mens,Apo Snowboards,MTD,BRAND_NEW,no,2004/05,2005,22,429.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Apo MTD 157,brand absent from v0.3 catalog
mens,Apo Snowboards,Selekta,BRAND_NEW,no,2004/05,2005,22,385.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Apo Selekta 153,brand absent from v0.3 catalog
mens,Palmer,Clutch,MODEL_NEW_CANDIDATE,yes,2004/05,2005,22,539.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Palmer Clutch 161,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Head,Icon i.,MODEL_NEW_CANDIDATE,yes,2004/05,2005,23,499.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Head Icon i. 162,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Legal,MODEL_NEW_CANDIDATE,yes,2004/05,2005,24,349.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Legal 153 + Bdg Pipe 04/05,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Myst,MODEL_NEW_CANDIDATE,yes,2004/05,2005,24,389.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Myst 159 + Bdg. Pipe 04/05,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Atomic,Exeter,MODEL_NEW_CANDIDATE,yes,2004/05,2005,25,349.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Exeter 160 + Bdg,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Atomic,Discharger,MODEL_NEW_CANDIDATE,yes,2004/05,2005,25,299.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Discharger 158 + Bdg,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Speedster SX,MODEL_NEW_CANDIDATE,yes,2004/05,2005,26,449.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Speedster SX 157,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Hot,Blast GS,MODEL_NEW_CANDIDATE,yes,2004/05,2005,27,549.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hot Blast GS 167,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Hot,Blast SL,MODEL_NEW_CANDIDATE,yes,2004/05,2005,27,519.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hot Blast SL 160,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Santa Cruz,Powerply Panther,MODEL_NEW_CANDIDATE,yes,2003/04,2004,28,249.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Santa Cruz Powerply Panther 157 03/04,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Duotone,Street,MODEL_NEW_CANDIDATE,yes (zero-models),2003/04,2004,28,229.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Duotone Street 153 03/04,Duotone is a zero-model brand in catalog. New model; MY2004 (last-season 03/04). Verify before add.
mens,F2,Sonic,MODEL_NEW_CANDIDATE,yes,2003/04,2004,28,229.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Sonic 151 03/04,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,F2,Eagle,MODEL_NEW_CANDIDATE,yes,2003/04,2004,29,199.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,F2 Eagle 03/04 + Bindung Pipe,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
mens,Duotone,RPM,MODEL_NEW_CANDIDATE,yes (zero-models),2003/04,2004,29,229.0,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Duotone RPM + Bindung DT 125,Duotone is a zero-model brand in catalog. New model; MY2004 (last-season 03/04). Verify before add.
girls,Hammer,Premium,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,73,419.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Premium 150,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
girls,Hammer,Hyleyn,MODEL_NEW_CANDIDATE,yes (zero-models),2004/05,2005,73,339.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Hammer Hyleyn 147,Hammer identity confirmed by Jay = catalog Hammer(France). New model for zero-model brand; verify before add.
girls,Jeenyus,The Broads,BRAND_NEW,no,2004/05,2005,73,499.9,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Jeenyus The Broads 149,brand absent from v0.3 catalog
girls,Atomic,Tuesday,MODEL_NEW_CANDIDATE,yes,2004/05,2005,74,249.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Atomic Tuesday 139 + Bdg Straight Shoot,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
girls,Völkl,Search,MODEL_NEW_CANDIDATE,yes,2004/05,2005,74,379.95,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,Völkl Search 149,brand confirmed; model not in v0.3 catalog. Sourced appearance in Blue Tomato 04/05 catalog; human to verify before add.
