section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,page,size,source_docId,source_url,note
mens,Atomic,Axum,Axum,EXACT,verified,2006/07,2007,4,156,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Atomic,Hatchet,Hatchet,EXACT,verified,2006/07,2007,4,156,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Atomic,Rapture,Rapture,EXACT,verified,2006/07,2007,4,159,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Atomic,Alibi,Alibi,EXACT,verified,2006/07,2007,4,159,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Atomic,Alibi,Alibi,EXACT,verified,2006/07,2007,4,161,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Atomic,Triarc,Triarc,EXACT,verified,2006/07,2007,5,163,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,T6,T6,EXACT,verified,2006/07,2007,6,159,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Jussi,Jussi,EXACT,verified,2006/07,2007,6,159,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Vapor,Vapor,EXACT,verified,2006/07,2007,6,159,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Baron,Baron,EXACT,verified,2006/07,2007,6,162,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Baron ES,Baron,QUALIFIED,verified,2006/07,2007,6,164,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,printed 'Baron ES' = catalog 'Baron' + qualifier
mens,Burton,Custom X,Custom X,EXACT,verified,2006/07,2007,6,158,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Custom,Custom,EXACT,verified,2006/07,2007,6,158,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,The White Collection,The White Collection Standard,QUALIFIED,verified,2006/07,2007,7,158,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,printed 'The White Collection' = catalog 'The White Collection Standard' + qualifier
mens,Burton,Dominant,Dominant,EXACT,verified,2006/07,2007,7,156,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Fish,Fish,EXACT,verified,2006/07,2007,7,156,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Elite,Elite,EXACT,verified,2006/07,2007,7,158,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Clash,Clash,EXACT,verified,2006/07,2007,7,155,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Bullet,Bullet,EXACT,verified,2006/07,2007,7,164,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
mens,Burton,Blunt,Blunt,EXACT,verified,2006/07,2007,7,158,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,
