section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,page,size,source_docId,source_url,note
mens,Atomic,Cold Smoke,MODEL_NEW_CANDIDATE,yes,2007/08,2008,4,160,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Atomic,Dreamraider,MODEL_NEW_CANDIDATE,yes,2007/08,2008,4,161,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Burton,Seven,MODEL_NEW_CANDIDATE,yes,2007/08,2008,7,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Burton,Un Inc,MODEL_NEW_CANDIDATE,yes,2007/08,2008,7,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Nitro,Eero Heads Up,MODEL_NEW_CANDIDATE,yes,2007/08,2008,8,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Nitro,T1 Legacy,MODEL_NEW_CANDIDATE,yes,2007/08,2008,8,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model NOT in catalog (fuzzy spurious/distinct). Human verify.
mens,Nitro,Team Art Attack,MODEL_NEW_CANDIDATE,yes,2007/08,2008,8,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model NOT in catalog (fuzzy spurious/distinct). Human verify.
mens,Bataleon,Funk Kink,MODEL_NEW_CANDIDATE,yes,2007/08,2008,9,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Rossignol,J Jackson,MODEL_NEW_CANDIDATE,yes,2007/08,2008,11,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Rossignol,RPM,MODEL_NEW_CANDIDATE,yes,2007/08,2008,11,155,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Elan,Artec 4.1,MODEL_NEW_CANDIDATE,yes,2007/08,2008,12,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Elan,Artec Team,MODEL_NEW_CANDIDATE,yes,2007/08,2008,12,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Elan,Artec 4.4,MODEL_NEW_CANDIDATE,yes,2007/08,2008,12,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,FTWO,Real,BRAND_NEW,no,2007/08,2008,13,160,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Respect,BRAND_NEW,no,2007/08,2008,13,164,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Random,BRAND_NEW,no,2007/08,2008,13,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Summit,BRAND_NEW,no,2007/08,2008,13,160,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Alien,BRAND_NEW,no,2007/08,2008,13,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,FTWO,TNT,BRAND_NEW,no,2007/08,2008,13,153,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models (Real/Respect/Random/Summit/TNT/Alien). Add as its own brand, NOT under F2. Human verify."
mens,Capita,Stair Master,MODEL_NEW_CANDIDATE,yes,2007/08,2008,15,152,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Capita,Stair Master Extreme,MODEL_NEW_CANDIDATE,yes,2007/08,2008,15,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Volkl,Squad Prime,MODEL_NEW_CANDIDATE,yes,2007/08,2008,16,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model NOT in catalog (fuzzy spurious/distinct). Human verify.
mens,Volkl,Pulse,MODEL_NEW_CANDIDATE,yes,2007/08,2008,16,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Volkl,Wall AM,MODEL_NEW_CANDIDATE,yes,2007/08,2008,16,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Santa Cruz,Gian Simmen TT Pro,MODEL_NEW_CANDIDATE,yes,2007/08,2008,17,160,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model NOT in catalog (fuzzy spurious/distinct). Human verify.
mens,Santa Cruz,Seth Huot TT Pro,MODEL_NEW_CANDIDATE,yes,2007/08,2008,17,155,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model NOT in catalog (fuzzy spurious/distinct). Human verify.
mens,Lib Tech,Travis Rice Pro MTX,MODEL_NEW_CANDIDATE,yes,2007/08,2008,18,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Apo Snowboards,Source,BRAND_NEW,no,2007/08,2008,19,164,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand absent from catalog
mens,Apo Snowboards,MTD Full Track,BRAND_NEW,no,2007/08,2008,19,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand absent from catalog
mens,Apo Snowboards,Selekta,BRAND_NEW,no,2007/08,2008,19,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand absent from catalog
mens,Apo Snowboards,Line,BRAND_NEW,no,2007/08,2008,19,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand absent from catalog
mens,Atomic,Skullz,MODEL_NEW_CANDIDATE,yes,2007/08,2008,19,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
mens,Atomic,Exeter,MODEL_NEW_CANDIDATE,yes,2007/08,2008,19,160,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,brand confirmed; model not in catalog. Sourced BT 07/08 (MY2008). Human verify.
