section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Atomic,Rapture,Rapture,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Alibi,Alibi,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Triarc,Triarc,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Radon,Radon,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Axum,Axum,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Hatchet,Hatchet,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Pivot,Pivot,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Vapor,Vapor,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Custom X,Custom X,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Jeremy Jones,Jeremy Jones,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,T6,T6,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Jussi,Jussi,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Supermodel,Supermodel,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Custom,Custom,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Love,Love,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Blunt,Blunt,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Bullet,Bullet,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Burton,Clash,Clash,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Lib Tech,Dark Series,Dark Series,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Lib Tech,Jamie Lynn Phoenix,Phoenix,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Jamie Lynn Phoenix' = catalog 'Phoenix' + qualifier
mens,Lib Tech,Travis Rice,Travis Rice Horsepower,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Travis Rice' = catalog 'Travis Rice Horsepower' + qualifier
mens,Lib Tech,TRS,TRS,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Lib Tech,Skunk Ape,Skunk Ape,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Lib Tech,Skate Banana,Skate Banana,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Volkl,Selecta,Selecta,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Volkl,Squad,Squad,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Volkl,Vice SQD,Vice,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Vice SQD' = catalog 'Vice' + qualifier
mens,Volkl,Riot SQD,Riot,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Riot SQD' = catalog 'Riot' + qualifier
mens,Volkl,Jibster SQD,Jibster,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Jibster SQD' = catalog 'Jibster' + qualifier
mens,Volkl,Dice,Dice,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Volkl,Dash,Dash,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Capita,Black Death Inc,Black Death Inc,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Capita,Stairmaster Extreme,Stairmaster,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Stairmaster Extreme' = catalog 'Stairmaster' + qualifier
mens,Capita,Indoor Survival,Indoor Survival,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Capita,Stairmaster,Stairmaster,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Forum,Eddie Wall,Eddie Wall Pro,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Eddie Wall' = catalog 'Eddie Wall Pro' + qualifier
mens,Forum,Travis Kennedy Destroyer,Destroyer,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Travis Kennedy Destroyer' = catalog 'Destroyer' + qualifier
mens,Forum,Destroyer,Destroyer,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Forum,Substance,Substance,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Forum,Youngblood,Youngblood,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Forum,Manual,Manual,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rossignol,Jones,Jeremy Jones,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Jones' = catalog 'Jeremy Jones' + qualifier
mens,Rossignol,Twilight,Twilight,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rossignol,Decoy,Decoy,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rossignol,One Mag,One,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'One Mag' = catalog 'One' + qualifier
mens,Rossignol,Retox,Retox,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rossignol,The Mini,The Mini,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Sick Stick,Sick Stick,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,The Official,Official,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'The Official' = catalog 'Official' + qualifier
mens,Salomon,Burner,Burner,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Arnie 5000,Arnie 5000,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Special,Special,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Riot,Riot,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Scout,Scout,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Salomon,Sanchez,Sanchez,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Bataleon,Enemy,Enemy,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Bataleon,The Jam,The Jam,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
