section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Capita,Spring Break Powder Wolf,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Capita,Spring Break Night Hawk,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Capita,Scott Stevens Pro,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Capita,Volcom Stone X Pat Moore Pro,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Capita,Supernova,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Pace,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Xbreed,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Steaze,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Genix,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Afc,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
