brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
Capita,Scott Stevens Pro,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Capita,Warpspeed,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Bataleon,CT,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,Box Knife,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,Swiss Knife,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,T-Rice Gold Member,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,T-Rice Climax,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,Stump Ape,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lib Tech,Lost Mayhem Rnf,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Jones,Apollo,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lobster,Artist Edition Danny Larsen,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lobster,Artist Edition Schoph,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lobster,Park,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Lobster,Jib,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
GNU,Hyak,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
GNU,Airblaster Pow,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Salomon,Premiere,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Salomon,HPS-Taka X Wolle,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Salomon,Ultimate Ride,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
Salomon,Super 8,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
F2,Speedster GTS,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
FTWO,Reverse,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
FTWO,TNT,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
FTWO,Blackdeck,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
FTWO,Blackdeck Wood,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
FTWO,Sonic,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
Trans,Pirate,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
Trans,Style Surf,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
Trans,FE,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
Trans,LTD,BRAND_NEW,no,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand absent from catalog
DC,TH,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
DC,The 156,MODEL_NEW_CANDIDATE,yes,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,brand confirmed; model not in catalog. Sourced BT 18/19 (MY2019). Human verify.
