publisher,user_slug,docId,model_year_or_season,pub_date,type,page_count,native_img_px,reader3_verified,brands_covered_basis,brands_covered_note,url,priority,notes
Blue Tomato,blue-tomato,blue-tomato-snowboard-katalog0506,2005/06,2005-10-01,retailer-catalog,125,1072x1499,yes,EXTRACTED,"15 brands mens + 10 girls; 85 confirmed, 54 review. Boards only (p6-23 mens, p40-43 girls).",https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,DONE,"Extracted mens+girls. See issuu-bluetomato-0506-*.csv + report."
Blue Tomato,blue-tomato,blue-tomato-snowboardkatalog0405,2004/05,2004-10-01,retailer-catalog,113,1070x1493,yes,EXTRACTED,"18 brands; 86 confirmed, 60 review. Boards p8-29 (incl Sets/Alpin/Last-Season03-04) + girls p72-74.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405,DONE,"Extracted. See issuu-bluetomato-0405-*.csv + report. German edition."
Blue Tomato,blue-tomato,blue-tomato_snowboard_katalog_16,2015/16,2015-08-11,retailer-catalog,268,1141px,yes,EXTRACTED,"~27 brands; 216 boards, 130 confirmed, 86 review. Men p137-161, women p182-189. New brands Alibi/Apo/FTWO/Light/Trans.",https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,DONE,"See issuu-bluetomato-1516-*.csv."
Blue Tomato,blue-tomato,blue-tomato_snowboard_katalog1617,2016/17,2016-09-29,retailer-catalog,266,checked,yes,EXTRACTED,"13 men brands + 11 women; 148 boards, 99 confirmed, 49 review. Men p123-139, women p176-181. All brands in catalog.",https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,DONE,"See issuu-bluetomato-1617-*.csv."
Blue Tomato,blue-tomato,blue-tomato-snowboard-catalogue-201,2018/19,2018-10-01,retailer-catalog,252,checked,yes,EXTRACTED,"17 brands; 129 boards, 93 confirmed, 36 review. Board section p147-169 (30-yr book consolidated men+women). New brands Alibi/FTWO/Trans.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,DONE,"See issuu-bluetomato-1819-*.csv."
Method Snowboard Magazine,method_magazine,methodmag_23-product_guide-lo,2022 (vol 23),2022-10-12,magazine-buyers-guide,100,unchecked,yes,type-estimate,Modern multi-brand board buyer's guide; broadest Method guide (100pp).,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,P2,"Best modern magazine multi-brand target."
Method Snowboard Magazine,method_magazine,buyers_guide_17.1_issuu,2016/17 (17.1),2016-10-28,magazine-buyers-guide,32,unchecked,yes,type-estimate,Modern multi-brand gear guide.,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,P3,"Modern."
Method Snowboard Magazine,method_magazine,buyers_guide_172_issuu,2016/17 (17.2),2016-11-24,magazine-buyers-guide,24,unchecked,yes,type-estimate,Modern multi-brand gear guide.,https://issuu.com/method_magazine/docs/buyers_guide_172_issuu,P3,"Modern."
Method Snowboard Magazine,method_magazine,181_boards_guide,2017/18 (18.1),2017-11-03,magazine-buyers-guide,19,unchecked,yes,type-estimate,Modern multi-brand boards guide.,https://issuu.com/method_magazine/docs/181_boards_guide,P3,"Modern."
Method Snowboard Magazine,method_magazine,method_guide_183,2017/18 (18.3),2018-01-22,magazine-buyers-guide,19,unchecked,yes,type-estimate,Modern multi-brand guide.,https://issuu.com/method_magazine/docs/method_guide_183,P3,"Modern."
Method Snowboard Magazine,method_magazine,buyers_guide_202_small,2019/20 (20.2),2020-01-11,magazine-buyers-guide,28,unchecked,yes,type-estimate,Bindings buyer's guide (not boards).,https://issuu.com/method_magazine/docs/buyers_guide_202_small,P4,"Bindings, not boards; lower priority for a board catalog."
Nitro Snowboards,nitrosnowboards,96-97-consumer-catalog-eng,1996/97,2022-05-17 (re-upload),brand-catalog,44,unchecked,yes,brand-known,Single brand: Nitro (in catalog). Vintage 1996/97.,https://issuu.com/nitrosnowboards/docs/96-97-consumer-catalog-eng,P2,"Vintage single-brand; no multi-brand attribution risk. Good 1990s primary source for Nitro."
Nitro Snowboards,nitrosnowboards,03-04-consumer-catalog-eng,2003/04,2022-05-17 (re-upload),brand-catalog,78,unchecked,yes,brand-known,Single brand: Nitro (in catalog).,https://issuu.com/nitrosnowboards/docs/03-04-consumer-catalog-eng,P3,"Vintage single-brand."
Arbor,arborcollective,catalog_snow_09-10_issuu,2009/10,2009-07-15,brand-catalog,13+,969x1497,yes,verified-prior,Single brand: Arbor. ALREADY EXTRACTED (arbor-issuu-confirmations.csv).,https://issuu.com/arborcollective/docs/catalog_snow_09-10_issuu,DONE,"Prior session proof; single-brand pipeline already validated."
Blue Tomato,blue-tomato,blue-tomato-snowboardkatalog0607,2006/07,2006-10-01,retailer-catalog,139,1071x1500,yes,EXTRACTED,"16 brands; 96 confirmed, 51 review. Boards p4-23 mens + p84-87 girls.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607,DONE,"Extracted mens+girls. Capita first appears. See issuu-bluetomato-0607-*.csv."
Blue Tomato,blue-tomato,blue-tomato-snowboardkatalog0708,2007/08,2007-10-01,retailer-catalog,180,1071x1500,yes,EXTRACTED,"18 brands; 106 confirmed, 40 review. Boards p4-21 mens + p98-101 girls. FTWO split from F2; GNU/Lib Tech appear.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,DONE,"See issuu-bluetomato-0708-*.csv."
Blue Tomato,blue-tomato,blue-tomato-snowboardkatalog0809,2008/09,2008-10-01,retailer-catalog,179,1071x1500,yes,EXTRACTED,"21 brands; 105 confirmed, 38 review. Boards p108-127 mens + p147-152 girls. Icon+O-Matic (zero-model) filled; Artec flagged.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,DONE,"See issuu-bluetomato-0809-*.csv."
Blue Tomato,blue-tomato,blue-tomato-snowboardkatalog_0910,2009/10,2009-10-01,retailer-catalog,219,1071x1500,yes,EXTRACTED,"27 brands; 121 confirmed, 48 review. Boards p121-144 mens + p163-167 girls. YES/Amplid/DC/Love/Aesthetiker/Light appear.",https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,DONE,"See issuu-bluetomato-0910-*.csv."
Nitro Snowboards,nitrosnowboards,96-97-consumer-catalog-eng,1996/97,1996 (re-upload 2022),brand-catalog,44,2331x2997,yes,EXTRACTED,"Single brand Nitro. 12 board models (MY1997); 4 confirmed, 8 vintage candidates. Boards p5-22. High-res 2331px.",https://issuu.com/nitrosnowboards/docs/96-97-consumer-catalog-eng,DONE,"1990s primary source. See issuu-nitro-9697-*.csv."
