brand,model,first_year,brand_status,confidence,n_sightings,reasons,source_docId,source_url
Aesthetiker,Gruba Libre,2010,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910
Alibi,Motive,2016,NEW-BRAND,likely,2,BRAND_NEW,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201
Alibi,Sicter,2016,NEW-BRAND,likely,2,BRAND_NEW,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201
Apo Snowboards,Amanite,2005,NEW-BRAND,likely,3,BRAND_NEW,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910
Apo Snowboards,Arthur Longo,2010,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910
Apo Snowboards,BCK,2008,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708
Apo Snowboards,Blend,2016,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16
Apo Snowboards,Family Series,2007,NEW-BRAND,likely,2,BRAND_NEW,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809
Apo Snowboards,Friedl Kolar Signature,2005,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog0405,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0405
Apo Snowboards,Iconic Eero,2016,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16
Apo Snowboards,Iconic Sage,2016,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16
Apo Snowboards,Isis,2006,NEW-BRAND,likely,3,BRAND_NEW,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506
Apo Snowboards,Line,2006,NEW-BRAND,likely,5,BRAND_NEW,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910
Apo Snowboards,MTD,2005,NEW-BRAND,likely,6,BRAND_NEW,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809
Apo Snowboards,MTD Full Track,2008,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708
Apo Snowboards,Seed,2007,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog0607,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0607
Apo Snowboards,Selekta,2005,NEW-BRAND,likely,7,BRAND_NEW,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910
Apo Snowboards,Source,2008,NEW-BRAND,likely,1,BRAND_NEW,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708
Chamonix,Cornu,2023,NEW-BRAND,likely,1,BRAND_NEW,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo
Chamonix,Jesse Paul Pro Model,2023,NEW-BRAND,likely,1,BRAND_NEW,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo
