brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
Arbor,Carbon Coda,Carbon Coda,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Arbor,Metal Machine,Metal Machine,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Arbor,GPS,GPS,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Arbor,Cadence,Cadence,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Bataleon,Cameleon,Cameleon,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Bataleon,Push Up,Push Up,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Bataleon,Goliath,Goliath,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Bataleon,Evil Twin,Evil Twin,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Burton,Blossom,Blossom,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Burton,Family Tree Alekesam,Alekesam,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Family Tree Alekesam' = catalog 'Alekesam' + qualifier
Burton,Story Board,Story Board,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Burton,Process,Process,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Capita,Defenders of Awesome,Defenders of Awesome,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Capita,Indoor Survival,Indoor Survival,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Capita,Birds of a Feather,Birds of a Feather,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Capita,Spring Break Resort Twin,Spring Break Resort Twin,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Drake,Team,TEAM,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Drake,Battle Rusty,BATTLE RUSTY,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Drake,Battle,BATTLE,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Drake,DFL Pro,DFL PRO,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
GNU,C Money,C-Money,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
GNU,Banked Country,Banked Country,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
GNU,Velvet,Velvet,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
GNU,Ladies Choice,Ladies Choice,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
K2,Passport,Passport,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
K2,Almanac,Almanac,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
K2,Antidote,Antidote,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
