brand,model,publisher,season,docId,page,model_year,source_file
Elan,Inverse,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,15,2005,issuu-bluetomato-0405-confirmations.csv
Elan,Vertigo,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,15,2005,issuu-bluetomato-0405-confirmations.csv
Elan,Answer,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,15,2005,issuu-bluetomato-0405-confirmations.csv
Elan,Endless,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,15,2005,issuu-bluetomato-0405-confirmations.csv
Salomon,Fastback,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,21,2005,issuu-bluetomato-0405-confirmations.csv
Salomon,Forecast,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,21,2005,issuu-bluetomato-0405-confirmations.csv
Salomon,Prospect,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,21,2005,issuu-bluetomato-0405-confirmations.csv
Salomon,Ace,Blue Tomato,2004/05,blue-tomato-snowboardkatalog0405,21,2005,issuu-bluetomato-0405-confirmations.csv
Elan,Vertigo,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Ascent,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Endless,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Inverse,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Answer,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Prodigy,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,14,2006,issuu-bluetomato-0506-confirmations.csv
Rome,Anthem,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,19,2006,issuu-bluetomato-0506-confirmations.csv
Rome,Flag,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,19,2006,issuu-bluetomato-0506-confirmations.csv
Salomon,Prospect LTD,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,20,2006,issuu-bluetomato-0506-confirmations.csv
Salomon,Forecast,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,20,2006,issuu-bluetomato-0506-confirmations.csv
Salomon,Burner,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,20,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Sense,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,42,2006,issuu-bluetomato-0506-confirmations.csv
Elan,Trinity,Blue Tomato,2005/06,blue-tomato-snowboard-katalog0506,42,2006,issuu-bluetomato-0506-confirmations.csv
Burton,Elite,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,7,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Burner,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Prospect,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Patrol,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Special,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Tempest,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Scout,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Arnie 5000,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,11,2007,issuu-bluetomato-0607-confirmations.csv
Capita,Photo Fetish,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,14,2007,issuu-bluetomato-0607-confirmations.csv
Elan,El Grande,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,17,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Vertigo,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,17,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Ascent,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,17,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Inverse,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,17,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Prodigy,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,17,2007,issuu-bluetomato-0607-confirmations.csv
Rome,Anthem,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,18,2007,issuu-bluetomato-0607-confirmations.csv
Rome,Solution,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,18,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Ivy,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,85,2007,issuu-bluetomato-0607-confirmations.csv
Rome,Detail,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,86,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Aurora,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,86,2007,issuu-bluetomato-0607-confirmations.csv
Elan,Trinity,Blue Tomato,2006/07,blue-tomato-snowboardkatalog0607,86,2007,issuu-bluetomato-0607-confirmations.csv
Salomon,Burner,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Special,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Prospect,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Patrol,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Arnie 5000,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Scout,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Tracker,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Sanchez,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,10,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Vertigo,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,12,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Inverse,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,12,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Answer,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,12,2008,issuu-bluetomato-0708-confirmations.csv
Elan,El Grande,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,12,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Crest,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,12,2008,issuu-bluetomato-0708-confirmations.csv
Rome,Anthem,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,18,2008,issuu-bluetomato-0708-confirmations.csv
Rome,Graft,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,18,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Prodigy,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,20,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Trinity,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,98,2008,issuu-bluetomato-0708-confirmations.csv
Elan,Aurora,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,98,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Ivy,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,101,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Radiant,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,101,2008,issuu-bluetomato-0708-confirmations.csv
Rome,Detail,Blue Tomato,2007/08,blue-tomato-snowboardkatalog0708,101,2008,issuu-bluetomato-0708-confirmations.csv
Salomon,Sick Stick,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Official,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Burner,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Arnie 5000,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Special,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Riot,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Scout,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Sanchez,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,Vertigo,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,Inverse,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,Answer,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,El Grande,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,Prodigy,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Rome,Graft,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Rome,Crail,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,Aurora,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Elan,LeeLoo,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Rome,Detail,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Radiant,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Ivy,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Lily,Blue Tomato,2008/09,blue-tomato-snowboardkatalog0809,,2009,issuu-bluetomato-0809-confirmations.csv
Salomon,Burner,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Special,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Arnie 5000,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Grip,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Riot,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Scout,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Sanchez,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Ace,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Postermania,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Graft,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Machine,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Manual,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,Inverse,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,Vertigo,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,El Grande,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,Answer,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,Prodigy,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Elan,Aurora,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Lo-Fi,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Rome,Vinyl,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Ivy,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
Salomon,Radiant,Blue Tomato,2009/10,blue-tomato-snowboardkatalog_0910,,2010,issuu-bluetomato-0910-confirmations.csv
