bucket,brand_existing,model_existing,first_year_existing,source_existing,brand_catalog,model_catalog,model_id_catalog,first_year_catalog,year_basis,confidence,sources_catalog,note,reviewer_decision
EXISTING_ONLY,Barfoot,All Mountain,2000,,,,,,,,,needs_source,
EXISTING_ONLY,Barfoot,Mark Partain Pro,1995,,,,,,,,,needs_source,
EXISTING_ONLY,Barfoot,Stealth,1997,,,,,,,,,needs_source,
EXISTING_ONLY,Barfoot,Twin Tip Freestyle,1989,,,,,,,,,needs_source,
EXISTING_ONLY,Gnu,Space Case,2014,,,,,,,,,needs_source,
FUZZY,Barfoot,Jon Boyer Pro Model,1993,,Barfoot,Jon Boyer,barfoot--jon-boyer,1992,introduced,verified,https://archive.org/details/tws-89-93 | https://retrosnow.com/shop/barfoot/92-barfoot/barfoot-jon-boyer/,fuzzy match ratio=0.890 - reviewer confirms same board or not,
FUZZY,Capita,DOA,2012,,CAPiTA,Super DOA,capita--super-doa,2020,introduced,verified,https://thegoodride.com/snowboard-reviews/capita-super-doa-snowboard-review/ | https://www.evo.com/shop/snowboard/snowboards/capita,fuzzy match ratio=0.890 - reviewer confirms same board or not,
FUZZY,Rome,Mod Rocker,2013,,Rome,Mod,rome--mod,2008,earliest_sourced,verified,https://www.snowdb.com/catalog/rome | https://web.archive.org/web/200710/http://www.romesnowboards.com/ | https://web.archive.org/web/200812/http://www.romesnowboards.com/,fuzzy match ratio=0.890 - reviewer confirms same board or not,
MATCH,Barfoot,Freakstyle,1986,,Barfoot,Freakstyle,barfoot--freakstyle,1989,introduced,likely,https://retrosnow.com/shop/barfoot/89/barfoot-freakstyle/ | https://tahoequarterly.com/ski-ride-2019/the-shape-of-snowboarding,YEAR CONFLICT: existing 1986 vs catalog introduced 1989,
MATCH,Barfoot,Freestyle,1981,,Barfoot,Freestyle,barfoot--freestyle,1986,introduced,verified,https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/barfoot/barfoot-86/barfoot-freestyle-155/,YEAR CONFLICT: existing 1981 vs catalog introduced 1986,
MATCH,Barfoot,Twin Tip,1985,,Barfoot,Twin Tip,barfoot--twin-tip,1987,introduced,verified,https://archive.org/details/ISM-87-91 | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://retrosnow.com/shop/barfoot/87/barfoot-twin-tip-freestyle/,YEAR CONFLICT: existing 1985 vs catalog introduced 1987,
MATCH,Burton,Custom,2003,,Burton,Custom,burton--custom,1996,earliest_sourced,verified,https://boardvault.net/snowboards/year/1996 | https://boardvault.net/snowboards/year/2005 | https://boardvault.net/snowboards/year/2013 | https://boardvault.net/snowboards/1996/custom-1996 | https://www.burton.com/en-us/blogs/the-burton-blog/burton-snowboards-history | https://www.michigansnowboardmuseum.com/burton---firsts--unique-decks.html | https://snowboardmag.com/stories/lineage-the-infallible-burton-custom | https://snowboarder.com/transworld-snowboarding-archive/snowboarding-photos/snowboard-reviews-1999 | https://www.snowdb.com/catalog/burton | https://www.snowboard-review.com/snowboard_reviews/c/burton/2021/ | https://www.burton.com/en-us/collections/snowboards | https://web.archive.org/web/199610/http://www.burton.com/ | https://web.archive.org/web/199706/http://www.burton.com/,note: catalog earliest_sourced 1996 EARLIER than existing 2003 (catalog found older evidence),
MATCH,Burton,Fish,2005,,Burton,Fish,burton--fish,2002,earliest_sourced,verified,https://boardvault.net/snowboards/year/2002 | https://boardvault.net/snowboards/year/2008 | https://boardvault.net/snowboards/year/2013 | https://boardvault.net/snowboards/2002/fish-2002 | https://www.burton.com/en-us/blogs/the-burton-blog/burton-snowboards-history | https://www.snowdb.com/catalog/burton | https://www.snowboard-review.com/snowboard_reviews/c/burton/2018/ | https://www.snowboard-review.com/snowboard_reviews/c/burton/2021/ | https://snowboardingprofiles.com/2023-burton-snowboards-overview | https://blauerboardshop.com/blogs/snowboarding/2025-burton-snowboards-overview | https://www.burton.com/en-us/collections/snowboards,note: catalog earliest_sourced 2002 EARLIER than existing 2005 (catalog found older evidence),
MATCH,Burton,Flight Attendant,2014,,Burton,Flight Attendant,burton--flight-attendant,2015,introduced,verified,https://www.evo.com/outlet/snowboards/burton-family-tree-flight-attendant-snowboard-2015 | https://www.saltypeaks.com/2015-burton-snowboards-buyers-guide/ | https://thegoodride.com/snowboard-reviews/burton-flight-attendant-2015-2020-snowboard-review/ | https://www.snowboard-review.com/snowboard_reviews/c/burton/2021/ | https://snowboardingprofiles.com/2023-burton-snowboards-overview | https://steepdb.com/b/burton/,YEAR CONFLICT: existing 2014 vs catalog introduced 2015,
MATCH,Burton,Process,2010,,Burton,Process,burton--process,2011,earliest_sourced,verified,https://boardvault.net/snowboards/year/2011 | https://boardvault.net/snowboards/year/2012 | https://boardvault.net/snowboards/year/2013 | https://boardvault.net/snowboards/2011/process-v-2011 | https://www.snowdb.com/catalog/burton | https://archive.org/details/burton-hardgoods-2014-d.-d.-teoli-jr.-a.-c. | https://www.snowboard-review.com/snowboard_reviews/c/burton/2021/ | https://snowboardingprofiles.com/2023-burton-snowboards-overview | https://blauerboardshop.com/blogs/snowboarding/2025-burton-snowboards-overview | https://www.burton.com/en-us/collections/snowboards,no conflict: catalog earliest_sourced 2011 later than existing 2010 (board predates catalog evidence),
MATCH,Capita,Mercury,2015,,CAPiTA,Mercury,capita--mercury,2016,introduced,verified,https://thegoodride.com/snowboard-reviews/capita-mercury-snowboard-review/ | https://www.evo.com/shop/snowboard/snowboards/capita,YEAR CONFLICT: existing 2015 vs catalog introduced 2016,
MATCH,Capita,Ultrafear,2018,,CAPiTA,Ultrafear,capita--ultrafear,2011,introduced,verified,https://thegoodride.com/snowboard-reviews/capita-ultrafear-2021-snowboard-review/ | https://thegoodride.com/snowboard-reviews/capita-ultrafear-snowboard-review/,YEAR CONFLICT: existing 2018 vs catalog introduced 2011,
MATCH,Gnu,Carbon Credit,2009,,GNU,Carbon Credit,gnu--carbon-credit,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/gnu,no conflict: catalog earliest_sourced 2010 later than existing 2009 (board predates catalog evidence),
MATCH,Jones,Explorer,2015,,Jones,Explorer,jones--explorer,2016,introduced,likely,https://thegoodride.com/snowboard-reviews/jones-explorer-2016-2019-snowboard-review/,YEAR CONFLICT: existing 2015 vs catalog introduced 2016,
MATCH,Jones,Flagship,2018,,Jones,Flagship,jones--flagship,2011,introduced,verified,https://thegoodride.com/snowboard-reviews/jones-flagship-snowboard-review/ | https://www.jonessnowboards.com/collections/mens-snowboards,YEAR CONFLICT: existing 2018 vs catalog introduced 2011,
MATCH,K2,Party Platter,2011,,K2,Party Platter,k2--party-platter,2017,introduced,likely,https://thegoodride.com/snowboard-reviews/k2-party-platter-2017-2019-snowboard-review/ | https://thegoodride.com/snowboard-reviews/k2-womens-party-platter-2020-2024-snowboard-review-by-steph-w/,YEAR CONFLICT: existing 2011 vs catalog introduced 2017,
MATCH,K2,Raygun,2004,,K2,Raygun,k2--raygun,2010,introduced,likely,https://thegoodride.com/snowboard-reviews/k2-raygun-2010-2019-snowboard-review/,YEAR CONFLICT: existing 2004 vs catalog introduced 2010,
MATCH,Lib Tech,Orca,2016,,Lib Tech,Orca,lib-tech--orca,2019,introduced,verified,https://www.lib-tech.com/about-lib-tech/history | https://www.evo.com/shop/snowboard/snowboards/lib-technologies | https://www.lib-tech.com/snowboards,YEAR CONFLICT: existing 2016 vs catalog introduced 2019,
MATCH,Lib Tech,Skate Banana,2007,,Lib Tech,Skate Banana,lib-tech--skate-banana,2007,earliest_sourced,verified,https://www.lib-tech.com/about-lib-tech/history | https://www.snowdb.com/catalog/lib-technologies | https://www.lib-tech.com/snowboards | https://www.evo.com/shop/snowboard/snowboards/lib-technologies | https://web.archive.org/web/200710/http://www.lib-tech.com/ | https://web.archive.org/web/200812/http://www.lib-tech.com/,,
MATCH,Lib Tech,TRS,2011,,Lib Tech,TRS,lib-tech--trs,2002,earliest_sourced,verified,https://www.snowdb.com/catalog/lib-technologies | https://www.snowboarder.com/transworld-snowboarding-archive/lib-tech-trs | https://web.archive.org/web/200110/http://www.lib-tech.com/ | https://web.archive.org/web/200804/http://www.lib-tech.com/,note: catalog earliest_sourced 2002 EARLIER than existing 2011 (catalog found older evidence),
MATCH,Never Summer,Proto Type Two,2013,,Never Summer,Proto Type Two,never-summer--proto-type-two,2016,introduced,likely,https://thegoodride.com/snowboard-reviews/never-summer-proto-type-two-snowboard-review/,YEAR CONFLICT: existing 2013 vs catalog introduced 2016,
MATCH,Ride,Berzerker,2007,,Ride,Berzerker,ride--berzerker,2006,earliest_sourced,verified,https://thegoodride.com/snowboard-reviews/ride-berzerker-snowboard-review/ | https://www.evo.com/shop/snowboard/snowboards/ride | https://web.archive.org/web/200601/http://www.ridesnowboards.com/ | https://web.archive.org/web/200603/http://www.ridesnowboards.com/,note: catalog earliest_sourced 2006 EARLIER than existing 2007 (catalog found older evidence),
MATCH,Rome,Ravine,2009,,Rome,Ravine,rome--ravine,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/rome,no conflict: catalog earliest_sourced 2027 later than existing 2009 (board predates catalog evidence),
MATCH,Salomon,Assassin,2018,,Salomon,Assassin,salomon--assassin,2014,earliest_sourced,verified,https://www.evo.com/shop/snowboard/snowboards/salomon | https://thegoodride.com/snowboard-reviews/salomon-assassin-snowboard-review/,note: catalog earliest_sourced 2014 EARLIER than existing 2018 (catalog found older evidence),
MATCH,Salomon,Huck Knife,2016,,Salomon,Huck Knife,salomon--huck-knife,2020,earliest_sourced,verified,https://www.evo.com/shop/snowboard/snowboards/salomon | https://thegoodride.com/snowboard-reviews/salomon-huck-knife-snowboard-review/,no conflict: catalog earliest_sourced 2020 later than existing 2016 (board predates catalog evidence),
MATCH,Sims,Halfpipe,1998,,Sims,Half Pipe,sims--half-pipe,1989,introduced,verified,https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93 | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html,YEAR CONFLICT: existing 1998 vs catalog introduced 1989,
MATCH,Sims,Switchblade,1996,,Sims,Switchblade,sims--switchblade,1988,introduced,verified,https://archive.org/details/ISM-87-91 | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html,YEAR CONFLICT: existing 1996 vs catalog introduced 1988,
CATALOG_ONLY,,,,,Aggression,Assault,aggression--assault,1993,introduced,likely,https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Aggression,Stealth,aggression--stealth,1993,introduced,likely,https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Aggression,TR60,aggression--tr60,1992,introduced,verified,https://retrosnow.com/shop/aggression/92-aggression/aggression-tr60/ | https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Airwalk,A-1,airwalk--a-1,2000,introduced,likely,https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs,,
CATALOG_ONLY,,,,,Amplid,Milligram,amplid--milligram,,unknown,likely,https://www.amplid.com/collections/snowboards | https://splitboard.com/amplids-carbon-split-awarded-most-innovative-by-splitboard-magazine-for-2015/,,
CATALOG_ONLY,,,,,Amplid,Singular,amplid--singular,2024,introduced,verified,https://thegoodride.com/snowboard-reviews/?brand=jones | https://www.amplid.com/collections/snowboards,,
CATALOG_ONLY,,,,,Amplid,Snommelier,amplid--snommelier,2024,introduced,likely,https://thegoodride.com/snowboard-reviews/amplid-snommelier-snowboard-review/,,
CATALOG_ONLY,,,,,Amplid,Soulmate,amplid--soulmate,2024,introduced,verified,https://thegoodride.com/snowboard-reviews/amplid-soulmate-snowboard-review/ | https://www.amplid.com/collections/snowboards,,
CATALOG_ONLY,,,,,Amplid,Souly Grail,amplid--souly-grail,2024,introduced,verified,https://thegoodride.com/snowboard-reviews/amplid-souly-grail-snowboard-review/ | https://www.amplid.com/collections/snowboards,,
CATALOG_ONLY,,,,,Amplid,Surfari,amplid--surfari,2025,introduced,verified,https://thegoodride.com/snowboard-reviews/amplid-surfari-snowboard-review/ | https://www.amplid.com/collections/snowboards,,
CATALOG_ONLY,,,,,Amplid,Time Machine,amplid--time-machine,2026,introduced,verified,https://thegoodride.com/snowboard-reviews/amplid-time-machine-snowboard-review/ | https://www.amplid.com/collections/snowboards,,
CATALOG_ONLY,,,,,Arbor,A-Frame,arbor--a-frame,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://thegoodride.com/snowboard-reviews/?brand=jones | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Abacus,arbor--abacus,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Alt,arbor--alt,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
