bucket,retrosnow_brand,our_brand,model,norm,year,our_model,our_first_year,note,url,source_tier,assign_confidence,assign_year_basis,reviewer_decision
MATCH,aggression,Aggression,Tr60,tr60,1992,TR60,1992,,https://retrosnow.com/shop/aggression/92-aggression/aggression-tr60/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,apocalypse,Apocalypse / A Snowboards / APO,Jimi Scott,jimi scott,1991,,,,https://retrosnow.com/shop/apocalypse/91-apocalypse/apocalypse-jimi-scott/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,atlantis,Atlantis,Ingmar Backman,ingmar backman,1997,,,,https://retrosnow.com/shop/atlantis/97/atlantis-ingmar-backman/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,avalanche,Avalanche,Kick,kick,1990,Kick,1988,,https://retrosnow.com/shop/avalanche/90-avalanche/avalanche-kick-165/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,avalanche,Avalanche,Kick Freestyle,kick,1988,Kick,1988,,https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-kick-freestyle-165/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,avalanche,Avalanche,Accel,accel,1988,Accel,1988,,https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-accel-180/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,barfoot,Barfoot,Estes Pro Model,estes,1990,,,,https://retrosnow.com/shop/barfoot/90-barfoot/barfoot-estes-pro-model-166/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,barfoot,Barfoot,Freakstyle,freakstyle,1989,Freakstyle,1989,,https://retrosnow.com/shop/barfoot/89/barfoot-freakstyle/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,barfoot,Barfoot,Freestyle,freestyle,1986,Freestyle,1986,,https://retrosnow.com/shop/barfoot/barfoot-86/barfoot-freestyle-155/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,barfoot,Barfoot,Jon Boyer,jon boyer,1992,Jon Boyer,1992,,https://retrosnow.com/shop/barfoot/92-barfoot/barfoot-jon-boyer/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,barfoot,Barfoot,Mike Estes,mike estes,1992,Mike Estes,1990,,https://retrosnow.com/shop/barfoot/92-barfoot/barfoot-mike-estes/,"primary (museum, photographed board)",verified,earliest_sourced,
