bucket,sendit_brand,sendit_model,norm,first_year,last_year,our_brand,our_model,note,variant_flags,import_candidate,reviewer_decision
SENDIT_ONLY,academy,GRADUATE,graduate,2019,2026,Academy,,,,yes,
SENDIT_ONLY,academy,HYBRID 2.0,hybrid 2 0,2025,2026,Academy,,,,yes,
SENDIT_ONLY,academy,MASTERS,masters,2025,2026,Academy,,,,yes,
SENDIT_ONLY,academy,PROPACAMBA,propacamba,2020,2026,Academy,,,,yes,
SENDIT_ONLY,academy,PROPAGANDA,propaganda,2013,2026,Academy,,,,yes,
SENDIT_ONLY,academy,PROPAGANDA Cookies SF Colab,propaganda cookies sf colab,2025,2025,Academy,,,,yes,
SENDIT_ONLY,academy,Master Series,master,2020,2022,Academy,,,,yes,
SENDIT_ONLY,academy,Team Series,team,2015,2022,Academy,,,,yes,
SENDIT_ONLY,academy,Propa-Camba,propa camba,2015,2019,Academy,,,,yes,
SENDIT_ONLY,academy,Icon Series,icon,2013,2015,Academy,,,,yes,
SENDIT_ONLY,academy,Rhythm Series,rhythm,2013,2015,Academy,,,,yes,
SENDIT_ONLY,academy,Serenity,serenity,2013,2015,Academy,,,,yes,
SENDIT_ONLY,academy,Tempo Series,tempo,2015,2015,Academy,,,,yes,
SENDIT_ONLY,academy,Team Series The Bro Model,team series the bro model,2013,2013,Academy,,,,yes,
BRAND_NEW,allian,Atlantis,atlantis,2015,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Damage,damage,2015,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Free Line,free line,2025,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Prism,prism,2021,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Prism Girl,prism girl,2015,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Prism Invisible,prism invisible,2021,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Vivian,vivian,2015,2027,,,brand not in v0.2,,no,
BRAND_NEW,allian,Curver,curver,2025,2025,,,brand not in v0.2,,no,
BRAND_NEW,allian,Grind,grind,2015,2025,,,brand not in v0.2,,no,
BRAND_NEW,allian,Nirvana,nirvana,2015,2025,,,brand not in v0.2,,no,
BRAND_NEW,allian,Prism Eagle,prism eagle,2021,2025,,,brand not in v0.2,,no,
BRAND_NEW,allian,Cuver,cuver,2021,2021,,,brand not in v0.2,,no,
BRAND_NEW,allian,Angel,angel,2015,2017,,,brand not in v0.2,,no,
BRAND_NEW,allian,Dreams,dreams,2015,2017,,,brand not in v0.2,,no,
BRAND_NEW,allian,"Ingemar Backman ""Fork""",ingemar backman fork,2017,2017,,,brand not in v0.2,quoted-graphic,no,
BRAND_NEW,allian,Prism / Prism Invisible / Prism LTD,prism prism invisible prism,2017,2017,,,brand not in v0.2,,no,
BRAND_NEW,allian,"Backman ""Cosmos""",backman cosmos,2015,2015,,,brand not in v0.2,quoted-graphic,no,
BRAND_NEW,allian,Prism / Prism Limited,prism prism,2015,2015,,,brand not in v0.2,,no,
BRAND_NEW,aluflex,ERIC HOLDRIDGE,eric holdridge,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,aluflex,LOLA,lola,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,AWAKN 164 ART,awakn art,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,BLACK SWAN 169 ART,black swan art,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,BLACK SWAN 169 WOOD SERIE,black swan wood serie,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,EMIT 159 FACTORY,emit factory,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,HIGHSOLATOR 168 ART,highsolator art,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,HIGHSOLATOR 168 WOOD,highsolator wood,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,HIGHSOLATOR 170 WIDE ART,highsolator wide art,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,MAKOBLAST 185 WOOD,makoblast wood,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,MTN 145,mtn,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,QUANTIC 175 WOOD,quantic wood,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,ROAM 173 ART,roam art,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,ame-snowboard,WES 160 FACTORY,wes factory,2026,2026,,,brand not in v0.2,,no,
BRAND_NEW,amicss,AFX,afx,2023,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,AGGRESSOR,aggressor,2020,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,ARZ,arz,2027,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,DFX,dfx,2025,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,DMT,dmt,2020,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,DNA,dna,2020,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,LV,lv,2026,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,RCJ,rcj,2025,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,World Cup Factory Model,world cup factory model,2025,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,XFIT,xfit,2025,2027,,,brand not in v0.2,,no,
BRAND_NEW,amicss,DNA Ti,dna ti,2020,2025,,,brand not in v0.2,,no,
BRAND_NEW,amicss,RCV,rcv,2020,2025,,,brand not in v0.2,,no,
BRAND_NEW,amicss,World Cup,world cup,2020,2025,,,brand not in v0.2,,no,
BRAND_NEW,amicss,XLAY,xlay,2023,2025,,,brand not in v0.2,,no,
BRAND_NEW,amicss,DEX,dex,2023,2023,,,brand not in v0.2,,no,
BRAND_NEW,amicss,RCI,rci,2020,2023,,,brand not in v0.2,,no,
SENDIT_ONLY,amplid,Big Kahuna,big kahuna,2023,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Cab Driver,cab driver,2025,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Kill Switch,kill switch,2021,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Kodama,kodama,2025,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Memory Stick,memory stick,2025,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Metamorph,metamorph,2025,2027,Amplid,,,,yes,
MATCH,amplid,Milligram,milligram,2016,2027,Amplid,Milligram,,,enrich,
SENDIT_ONLY,amplid,Mood Bender,mood bender,2026,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Morning Glory,morning glory,2014,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Ohana Vibes,ohana vibes,2026,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Psychonaut,psychonaut,2025,2027,Amplid,,,,yes,
MATCH,amplid,Singular,singular,2023,2027,Amplid,Singular,sendit earlier than ours (2024),,enrich,
SENDIT_ONLY,amplid,Singular Twin,singular twin,2023,2027,Amplid,,,,yes,
MATCH,amplid,Snommelier,snommelier,2020,2027,Amplid,Snommelier,sendit earlier than ours (2024),,enrich,
MATCH,amplid,Soulmate,soulmate,2025,2027,Amplid,Soulmate,,,enrich,
MATCH,amplid,Souly Grail,souly grail,2022,2027,Amplid,Souly Grail,sendit earlier than ours (2024),,enrich,
SENDIT_ONLY,amplid,Spray Tray,spray tray,2021,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Surf Shuttle,surf shuttle,2021,2027,Amplid,,,,yes,
MATCH,amplid,Surfari,surfari,2018,2027,Amplid,Surfari,sendit earlier than ours (2025),,enrich,
MATCH,amplid,Time Machine,time machine,2026,2027,Amplid,Time Machine,,,enrich,
SENDIT_ONLY,amplid,Tour Operator,tour operator,2020,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,UNW8,unw8,2013,2027,Amplid,,,,yes,
SENDIT_ONLY,amplid,Freequencer,freequencer,2022,2026,Amplid,,,,yes,
SENDIT_ONLY,amplid,Proto ASYM 160,proto asym,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto Big Kahuna Zero90,proto big kahuna zero90,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto Mood Bender Zero90,proto mood bender zero90,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto Psychonaut Zero90,proto psychonaut zero90,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto SI-CA (Singular Carbon),proto si ca singular carbon,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto Singular Twin Wide,proto singular twin,2026,2026,Amplid,,,non-production,no,
SENDIT_ONLY,amplid,Proto Singular Twin Wide Zero90,proto singular twin wide zero90,2026,2026,Amplid,,,non-production,no,
