brand,our_model,our_first_year,sendit_first_year,action_taken,reviewer_decision
Amplid,Singular,2024,2023,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Amplid,Snommelier,2024,2020,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Amplid,Souly Grail,2024,2022,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Amplid,Surfari,2025,2018,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Arbor,Bryan Iguchi Pro,2027,2017,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Danny Kass Park Pro,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,El Camino,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Kuro Neko,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Madre,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Mantra,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Metal Machine,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Padre,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Rain,2026,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Sin Nombre,2027,2016,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Veda,2027,2023,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Red Gerard Pro,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Westmark,2008,2007,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Terrapin,2027,2018,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Abacus,2008,2006,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Roundhouse,2008,2006,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Push,2008,2006,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Crossbow,2004,2003,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Heritage,2001,1999,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Arbor,Progression,2002,2001,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
