model_id,brand_id,brand_name,model_name,first_year,year_basis,last_year,year_note,category,pro_rider,series_or_family,confidence,notes,sources
aggression--tr60,aggression,Aggression,TR60,1992,introduced,1993,,freestyle,,,verified,'Tarquin TR 60' in the Oct 1992 guide; Boulder-built.,https://retrosnow.com/shop/aggression/92-aggression/aggression-tr60/ | https://archive.org/details/tws-89-93
aggression--assault,aggression,Aggression,Assault,1993,introduced,1993,TWS buyer's guide issue dated Oct of the prior calendar year (Oct 1989 issue = model year 1990).,freestyle,,,likely,,https://archive.org/details/tws-89-93
aggression--stealth,aggression,Aggression,Stealth,1993,introduced,1993,TWS buyer's guide issue dated Oct of the prior calendar year (Oct 1989 issue = model year 1990).,alpine,,,likely,Stealth 165 (Oct 1992 guide).,https://archive.org/details/tws-89-93
airwalk--a-1,airwalk,Airwalk,A-1,2000,introduced,2000,,all-mountain,,,likely,"Snowboard Life Top 25, 1999/2000.",https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs
amplid--singular,amplid,Amplid,Singular,2024,introduced,,,all-mountain,,Singular Series,verified,,https://thegoodride.com/snowboard-reviews/?brand=jones | https://www.amplid.com/collections/snowboards
amplid--snommelier,amplid,Amplid,Snommelier,2024,introduced,2025,,freeride,,,likely,,https://thegoodride.com/snowboard-reviews/amplid-snommelier-snowboard-review/
amplid--soulmate,amplid,Amplid,Soulmate,2024,introduced,,,freeride,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-soulmate-snowboard-review/ | https://www.amplid.com/collections/snowboards
amplid--souly-grail,amplid,Amplid,Souly Grail,2024,introduced,,,freeride,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-souly-grail-snowboard-review/ | https://www.amplid.com/collections/snowboards
amplid--surfari,amplid,Amplid,Surfari,2025,introduced,,Redesigned 2027; earlier 2025 version noted,powder,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-surfari-snowboard-review/ | https://www.amplid.com/collections/snowboards
amplid--time-machine,amplid,Amplid,Time Machine,2026,introduced,,,all-mountain,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-time-machine-snowboard-review/ | https://www.amplid.com/collections/snowboards
amplid--milligram,amplid,Amplid,Milligram,,unknown,,Milligram Split in current lineup; carbon split awarded 2015,splitboard,,,likely,,https://www.amplid.com/collections/snowboards | https://splitboard.com/amplids-carbon-split-awarded-most-innovative-by-splitboard-magazine-for-2015/
arbor--heritage,arbor,Arbor,Heritage,2001,earliest_sourced,2007,Listed on brand site (Wayback) for MY2001; slug pages continue to 200610 (MY2007),unknown,,,verified,"Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slugs 'heritage', 'heritage_03', 'h' run through 200610.",https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--signature,arbor,Arbor,Signature,2001,earliest_sourced,2001,Listed on brand site (Wayback) for MY2001,unknown,,,verified,Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slug 'signature'.,https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html
arbor--woodie,arbor,Arbor,Woodie,2001,earliest_sourced,2007,Listed on brand site (Wayback) for MY2001; slug pages continue to 200610 (MY2007),unknown,,,verified,"Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slugs 'woodie', 'woodie_03', 'w' run through 200610. Wood-topsheet line.",https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--progression,arbor,Arbor,Progression,2002,earliest_sourced,2007,Seen on brand site (Wayback) 200111-200610; may predate,unknown,,,likely,Site slug 'progression_board / progression_03 / p'.,https://web.archive.org/web/200111/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--cross,arbor,Arbor,Cross,2003,earliest_sourced,2004,Seen on brand site (Wayback) 200210-200311; may predate,unknown,,,likely,Site slug 'cross_03 / c'.,https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200311/http://www.arborsports.com/
arbor--mystic,arbor,Arbor,Mystic,2003,earliest_sourced,2008,Confirmed in SnowDB catalog archive for model years 2008-2008 (archive covers 2008-2012 only; run may extend outside that window). | Seen on brand site (Wayback) 200210-200610; may predate,unknown,,,verified,Site slug 'mystic_03 / m / mystic_04 / mystic / 05_mystic'.,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--s-series,arbor,Arbor,S Series,2003,earliest_sourced,2007,Seen on brand site (Wayback) 200302-200610; may predate,unknown,,,likely,Site slug 'ss / sseries_03'.,https://web.archive.org/web/200302/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--a-frame,arbor,Arbor,A-Frame,2004,earliest_sourced,2007,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced (Good Ride 2027 review); A-Frame is a long-running model | Seen on brand site (Wayback) 200309-200701; may predate",freeride,,,verified,Arbor's long-running directional freeride board with wood topsheet; in 2027 line. | Site slug 'aframe_04 / aframe / 05_aframe'.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://thegoodride.com/snowboard-reviews/?brand=jones | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/
arbor--crossbow,arbor,Arbor,Crossbow,2004,earliest_sourced,2009,Confirmed in SnowDB catalog archive for model years 2008-2009 (archive covers 2008-2012 only; run may extend outside that window). | Seen on brand site (Wayback) 200309-200610; may predate,unknown,,,verified,Site slug 'crossbow_04 / crossbow / 05_crossbow'.,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--draft,arbor,Arbor,Draft,2004,earliest_sourced,2007,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced | Seen on brand site (Wayback) 200308-200610; may predate",freestyle,,,verified,Park board; in 2026-27 line. | Site slug 'draft_04 / draft / 05_draft'.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--element,arbor,Arbor,Element,2004,earliest_sourced,2007,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced 2026; Element is a long-running Arbor model | Seen on brand site (Wayback) 200308-200701; may predate",all-mountain,,,verified,Element / Element RX / CX; Element and Element Decon in 2026-27. | Decon variant. | Site slug 'element_04 / element / 05_element'. Element Wide page (slug 'element_wide') 200411-200701 folded in as a width variant.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/
arbor--formula,arbor,Arbor,Formula,2004,earliest_sourced,2007,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced | Seen on brand site (Wayback) 200310-200610; may predate",all-mountain,,,verified,Formula and Formula Decon in 2026-27. | Decon variant. | Site slug 'formula / formula_04 / 05_formula'.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200310/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/
arbor--abacus,arbor,Arbor,Abacus,2008,earliest_sourced,2011,Confirmed in SnowDB catalog archive for model years 2008-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--alt,arbor,Arbor,Alt,2008,earliest_sourced,2008,Confirmed in SnowDB catalog archive for model years 2008-2008 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--cadence,arbor,Arbor,Cadence,2008,earliest_sourced,,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced",all-mountain,,,verified,Women's; in 2026-27 line. | Women's.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--push,arbor,Arbor,Push,2008,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--roundhouse,arbor,Arbor,Roundhouse,2008,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,Roundhouse RX/CX 2012.,https://www.snowdb.com/catalog/arbor
arbor--wasteland,arbor,Arbor,Wasteland,2008,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--westmark,arbor,Arbor,Westmark,2008,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,freestyle,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--coda,arbor,Arbor,Coda,2009,earliest_sourced,,"Earliest confirmed appearance 2009 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced; Carbon Coda variant",all-mountain,,,verified,Coda and Carbon Coda in 2027.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--del-rey,arbor,Arbor,Del Rey,2009,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2009-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--eden,arbor,Arbor,Eden,2009,earliest_sourced,2011,Confirmed in SnowDB catalog archive for model years 2009-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--nightrain,arbor,Arbor,Nightrain,2010,earliest_sourced,2011,Confirmed in SnowDB catalog archive for model years 2010-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--blacklist,arbor,Arbor,Blacklist,2012,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--poparazzi,arbor,Arbor,Poparazzi,2012,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--relapse,arbor,Arbor,Relapse,2012,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/arbor
arbor--swoon,arbor,Arbor,Swoon,2012,earliest_sourced,,"Earliest confirmed appearance 2012 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced",all-mountain,,,verified,Women's; Swoon and Swoon Decon 2027. | Women's.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--rain,arbor,Arbor,Rain,2026,earliest_sourced,,Earliest confirmed 2026 (evo listing); still in production.,unknown,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--astrowaste,arbor,Arbor,Astrowaste,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--bryan-iguchi-pro,arbor,Arbor,Bryan Iguchi Pro,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced; long-running pro model,freeride,Bryan Iguchi,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--danny-kass-park-pro,arbor,Arbor,Danny Kass Park Pro,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freestyle,Danny Kass,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--el-camino,arbor,Arbor,El Camino,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,all-mountain,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--kuro-neko,arbor,Arbor,Kuro Neko,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,likely,Women's model.,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--madre,arbor,Arbor,Madre,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,likely,Women's model.,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--mantra,arbor,Arbor,Mantra,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,likely,Women's model.,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--metal-machine,arbor,Arbor,Metal Machine,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freestyle,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--padre,arbor,Arbor,Padre,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freeride,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--red-gerard-pro,arbor,Arbor,Red Gerard Pro,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freestyle,Red Gerard,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--rooster-fish,arbor,Arbor,Rooster Fish,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,powder,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--scion,arbor,Arbor,Scion,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,kids,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--seedling,arbor,Arbor,Seedling,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,kids,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--sin-cara,arbor,Arbor,Sin Cara,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,likely,Women's model.,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--sin-nombre,arbor,Arbor,Sin Nombre,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production.,freeride,,,verified,,https://www.evo.com/shop/snowboard/snowboards/arbor | https://thegoodride.com/snowboard-reviews/ | https://thegoodride.com/snowboard-reviews/?brand=jones
arbor--terrapin,arbor,Arbor,Terrapin,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced (Terrapin PFD),powder,,,likely,,https://www.evo.com/shop/snowboard/snowboards/arbor
arbor--veda,arbor,Arbor,Veda,2027,earliest_sourced,,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freeride,,,likely,Women's model. | Women's.,https://www.evo.com/shop/snowboard/snowboards/arbor
atomic--alibi,atomic,Atomic,Alibi,2004,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Alibi RENU 2011. | Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--bond,atomic,Atomic,Bond,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--don,atomic,Atomic,Don,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--don-sr,atomic,Atomic,Don Sr.,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--hatchet,atomic,Atomic,Hatchet,2004,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--kumicho,atomic,Atomic,Kumicho,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--kung-pow,atomic,Atomic,Kung Pow,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on the Feb 2004 board page (MY2004).,https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
