brand_id,brand_name,founded_year,end_year,status,founder,country,hq_city,parent_company,confidence,notes,sources
5150,5150,,,defunct,,USA,,Ride (from Sept 1995); K2 from 1999,verified,Brand of Thermal Snowboards; acquired with the Thermal factory by Ride in Sept 1995 for $11.9M. Later a K2 price-point brand (listed on SnowDB).,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.the-house.com/portal/ride-inc-history/ | https://www.snowdb.com/
a-team,A-Team,,,defunct,"Jack Smith, Gary Fluitt and John Brunson",USA,"Morro Bay, California",,likely,Late-1970s; also made sandboards.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.skiinghistory.org/category/snowboard
academy,Academy,,,active,Chad and JB (owners),USA,"Auburn, California",,likely,Rider-owned; built by Never Summer; active since at least 2010/11.,https://academysnowboards.com/ | https://whitelines.com/brands/academy-snowboards
aggression,Aggression,1983,1999,defunct,Matt Nipper,USA,"Boulder, Colorado",Volant (from 1994),verified,"Origins as Boulder Boards; factory formerly Naked Boards. Bought by Volant 1994; ended 1999. | TWS Oct 1992 guide: 'for seven years, Aggression Snowboards has been producing boards ... from their factory in Boulder, Colorado' (implies c.1985-86 start; Michigan museum lists 'Agression 1983'). Purchased by Volant Skis in 1994.",https://www.summitdaily.com/news/innovation-drove-smaller-colorado-snowboard-companies/ | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/tws-89-93
airwalk,Airwalk,1986,,defunct,George Yohn and Bill Mann,USA,"Carlsbad, California",Items International,likely,"Shoe company; led snowboard boot sales by 1994 and also made snowboards, bindings and accessories. | Shoe brand; step-in bindings 1995 (timeline); A-1 board in the 2000 Snowboard Life Top 25.",https://www.encyclopedia.com/books/politics-and-business-magazines/items-international-airwalk-inc | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000
alpha,Alpha,,,defunct,,Austria,,Attack International (windsurfing),likely,Late 1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
amplid,Amplid,2004,,active,Peter Bauer and Anian Thrainer,Germany,Bavaria,,verified,"Brand page gives 2004 founding, co-founded with Anian Thrainer in 2005; Thrainer left 2014, Conrad Albert joined. Amplid GmbH. | Amplid GmbH; co-owned with Anian Thrainer early on; Peter Bauer later 100% owner.",https://www.amplid.com/company/peter-bauer/ | https://www.snowdb.com/ | https://www.amplid.com/company/ | https://www.newschoolers.com/news/read/Brand-Focus-Amplid-Snowboards
apocalypse-a-snowboards-apo,Apocalypse / A Snowboards / APO,1986,,defunct,Regis Rolland,France,Les Arcs,,verified,Founded by Regis Rolland of 'Apocalypse Snow' fame (film 1983). Renamed A Snowboards 1992 (merged with Grand Chavin 1997) and APO Snow 2002. Rolland ousted 2014 after binding production problems; brand since folded. Whitelines brand page dates it 1983.,https://whitelines.com/archive/news/regis-rolland-apo-part-ways.html | https://whitelines.com/brands/apo-snowboards | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
arbor,Arbor,1995,,active,,USA,"Venice, California",,verified,"Eco-focused; wood veneer topsheets, bamboo; Returning Roots reforestation program. | Known for wood-veneer topsheets and sustainability focus (Whitelines brand guide). | Wood topsheets, sustainability focus.",https://www.arborcollective.com/pages/our-story | https://whitelines.com/brands/arbor-snowboards | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.evo.com/shop/snowboard/snowboards/arbor
arnell,Arnell,,,defunct,,,,Yoshida (Jan 1997),likely,Bought to complement Yoshida's Molly/MLY brand.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world
artec,Artec,2004,,dormant,,Slovenia,,Elan,likely,"Elan's more experimental sub-brand, made in the Austrian OEM factory. Current status not verified.",http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.snowdb.com/
asmo,Asmo,2006,,active,Wolfgang 'Wolly' Nyvelt,Austria,,,likely,Binding-less powsurfers.,https://www.fieldmag.com/articles/most-influential-international-snowboard-brands
atlantis,Atlantis,,,defunct,Ingemar Backman,,,Jaysport (1999),likely,"Rider-owned, sidewall construction.",https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://whitelines.com/archive/features/comeback-kit.html
atomic,Atomic,,,active,Alois Rohrmoser,Austria,Altenmarkt im Pongau,Amer Sports (Anta) since 1994,verified,Ski maker; snowboard line (Alibi etc.) and owner of the Oxygen snowboard brand in the 1990s. | Ski manufacturer; snowboards seen in SnowDB 2009/10-2011/12 only. Status of snowboard line not confirmed.,https://grokipedia.com/page/Atomic_Skis | https://gdharries.com/journal/twenty-eight-years-of-snowboards | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.snowdb.com/catalog/atomic
avalanche,Avalanche,1982,1997,defunct,"Chris Sanders, Bev Sanders and Earl Zeller",USA,"Lake Tahoe, California",A Sport (from Dec 1997); later Silence investor group,verified,"First boards Huey, Dewey & Louie with Formica; Damian Sanders pro models. 80% sold to Bob Edwards in 1994; merged with Straight Line into A Sport Dec 1997; brand effectively ended 1997. | ISM 1988 address P.O. Box 10636, South Lake Tahoe. Snowboarder timeline dates the first Avalanche boards (Huey, Dewey, Louie) to 1982. Still listed in 2000-01 Snowboard Life test.",http://www.illicitsnowboarding.com/2012/03/legends-of-fallen-vintage-snowboard.html | https://www.vtssm.org/snowboarding | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://jeffharbaugh.com/hey-how-come-youre-still-around-conversations-with-survivors/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://archive.org/details/ISM-87-91
ayack-johly,Ayack / Johly,,,defunct,,Japan,,Ski Surf,likely,Ayack mid-1970s to early 1980s; renamed Johly late 1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
b-o-n-e,B.O.N.E.,,,dormant,,,,,likely,Listed on SnowDB catalog. Current status not verified.,https://www.snowdb.com/
bamboo-curtain,Bamboo Curtain,,1995,defunct,,,,Fera International,likely,Bought Sept 1995 then ceased.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world
