bucket,existing_id,existing_name,existing_year,existing_source,catalog_slug,catalog_series,catalog_year,catalog_venue,catalog_confidence,note,reviewer_decision
MATCH,event_1781470879531_sjz56,1986 Snowboarding World Championships,1986,unverified,world-snowboarding-championships-sims--1986,World Snowboarding Championships,1986,Breckenridge Ski Resort,likely,,
MATCH,event_1781460997348_uznyr,1987 North American Snowboard Championships,1987,unverified,north-american-snowboarding-championships--1987,North American Snowboarding Championships,1987,Banff,likely,,
MATCH,event_1773691017612_oyzi7,Baker Banked Slalom 1987,1987,unverified,mt-baker-legendary-banked-slalom--1987,Mt. Baker Legendary Banked Slalom,1987,Mt. Baker Ski Area,verified,,
MATCH,event_1773691047295_uz4v0,Baker Banked Slalom 1988,1988,unverified,mt-baker-legendary-banked-slalom--1988,Mt. Baker Legendary Banked Slalom,1988,Mt. Baker Ski Area,verified,,
MATCH,event_1773691066162_zo77e,Baker Banked Slalom 1989,1989,unverified,mt-baker-legendary-banked-slalom--1989,Mt. Baker Legendary Banked Slalom,1989,Mt. Baker Ski Area,verified,,
MATCH,event_1774838343638_i942r,Westbeach Classic 1989,1989,unverified,westbeach-classic--1989,WestBeach Classic,1989,,likely,,
MATCH,e11,Baker Banked Slalom 1992,1992,verified,mt-baker-legendary-banked-slalom--1992,Mt. Baker Legendary Banked Slalom,1992,Mt. Baker Ski Area,verified,,
MATCH,event_1787850326121_wlp1s,Air and Style,1994,unverified,air-and-style--1994-a,Air + Style,1994,Bergisel Stadium,verified,,
MATCH,event_1774838567452_ddn4a,Westbeach Classic 1997,1997,unverified,westbeach-classic--1997,WestBeach Classic,1997,Whistler Mountain (base area),verified,,
MATCH,e12,Baker Banked Slalom 1999,1999,verified,mt-baker-legendary-banked-slalom--1999,Mt. Baker Legendary Banked Slalom,1999,Mt. Baker Ski Area,verified,,
MATCH,e13,Baker Banked Slalom 2005,2005,verified,mt-baker-legendary-banked-slalom--2005,Mt. Baker Legendary Banked Slalom,2005,Mt. Baker Ski Area,verified,,
MATCH,event_1787782345410_9pqoq,Baker Banked Slalom 2006,2006,unverified,mt-baker-legendary-banked-slalom--2006,Mt. Baker Legendary Banked Slalom,2006,Mt. Baker Ski Area,verified,,
MATCH,e14,Baker Banked Slalom 2010,2010,verified,mt-baker-legendary-banked-slalom--2010,Mt. Baker Legendary Banked Slalom,2010,Mt. Baker Ski Area,verified,,
MATCH,e15,Baker Banked Slalom 2015,2015,verified,mt-baker-legendary-banked-slalom--2015,Mt. Baker Legendary Banked Slalom,2015,Mt. Baker Ski Area,verified,,
MATCH,e16,Baker Banked Slalom 2019,2019,verified,mt-baker-legendary-banked-slalom--2019,Mt. Baker Legendary Banked Slalom,2019,Mt. Baker Ski Area,verified,,
FUZZY,event_1777135229030_2d1nu,1988 North American Snowboard Championships,1988,unverified,snoboard-shop-north-american-championships--1988,The Snoboard Shop North American Snowboarding Championships,1988,Mt Norquay,likely,fuzzy ratio 0.90; verify before merging,
EXISTING_ONLY,event_1781804939736_z44x9,North American Snowboard Championships,1986,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1781753687456_n2eas,Chevron Cup 1989,1989,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1788237115444_g2cgi,Pepsi Pipeline,1990,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838419971_1njpq,Westbeach Classic 1990,1990,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838437821_9yr0j,Westbeach Classic 1991,1991,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838455737_8b5ua,Westbeach Classic 1992,1992,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1787850166221_8lz6c,Mt. Hood Wide Open,1993,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838473372_wnrct,Westbeach Classic 1993,1993,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838503921_4t9lb,Westbeach Classic 1994,1994,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1774838517620_p588r,Westbeach Classic 1995,1995,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,event_1781066420352_2a1wp,King Of The Hill,1996,unverified,,,,,,not_a_contest (gathering),
EXISTING_ONLY,event_1774838538604_tn4r7,Westbeach Classic 1996,1996,unverified,,,,,,"needs_source (unverified, no catalog match)",
EXISTING_ONLY,evt_1782850803307_apuqit,FNRad: Jay Balmer,2021,verified,,,,,,not_a_contest (episode),
EXISTING_ONLY,evt_1785710768741_kerwqf,FNRad: Devun Walsh,2024,verified,,,,,,not_a_contest (episode),
EXISTING_ONLY,event_1781066166784_300xa,King Of The Hill 30,2026,unverified,,,,,,not_a_contest (gathering),
CATALOG_ONLY,,,,,national-snurfing-championships--1968,National Snurfing Championships,1968,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1974,National Snurfing Championships,1974,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1975,National Snurfing Championships,1975,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1976,National Snurfing Championships,1976,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1977,National Snurfing Championships,1977,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1978,National Snurfing Championships,1978,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1979,National Snurfing Championships,1979,"Blockhouse Hill, Muskegon State Park",likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1980,National Snurfing Championships,1980,Pando Ski Hill,likely,import,
CATALOG_ONLY,,,,,king-of-the-mountain-ski-cooper--1981,King of the Mountain (Ski Cooper),1981,Ski Cooper,likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1981,National Snurfing Championships,1981,,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1982,Burton US Open Snowboarding Championships,1982,Suicide Six,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1983,Burton US Open Snowboarding Championships,1983,Snow Valley,likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1983,National Snurfing Championships,1983,,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championships-sims--1983,World Snowboarding Championships,1983,Soda Springs Ski Bowl,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1984,Burton US Open Snowboarding Championships,1984,Snow Valley,likely,import,
CATALOG_ONLY,,,,,national-snurfing-championships--1984,National Snurfing Championships,1984,Pando Ski Area,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championships-sims--1984,World Snowboarding Championships,1984,Soda Springs Ski Bowl,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1985,Burton US Open Snowboarding Championships,1985,Stratton Mountain,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1985,Mt. Baker Legendary Banked Slalom,1985,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,snoboard-shop-north-american-championships--1985,The Snoboard Shop North American Snowboarding Championships,1985,,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championships-sims--1985,World Snowboarding Championships,1985,Soda Springs Ski Bowl,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1986,Burton US Open Snowboarding Championships,1986,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1986,Mt. Baker Legendary Banked Slalom,1986,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1987,Burton US Open Snowboarding Championships,1987,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,european-world-snowboarding-championships--1987,European World Snowboarding Championships,1987,Livigno / St. Moritz,likely,import,
CATALOG_ONLY,,,,,snoboard-shop-north-american-championships--1987,The Snoboard Shop North American Snowboarding Championships,1987,Sunshine Village,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championships-sims--1987,World Snowboarding Championships,1987,Breckenridge Ski Resort,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1988,Burton US Open Snowboarding Championships,1988,Stratton Mountain,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1989,Burton US Open Snowboarding Championships,1989,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,national-collegiate-snowboarding-championships--1989,National Collegiate Snowboarding Championships,1989,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,op-pro-snowboarding--1989,OP Pro of Snowboarding,1989,June Mountain,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1990,Burton US Open Snowboarding Championships,1990,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1990,Mt. Baker Legendary Banked Slalom,1990,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,usasa-national-championships--1990,USASA National Championships,1990,Snow Valley,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1991,Burton US Open Snowboarding Championships,1991,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1991,Mt. Baker Legendary Banked Slalom,1991,Mt. Baker Ski Area,likely,import,
CATALOG_ONLY,,,,,op-wintersurf--1991,OP Wintersurf,1991,Huntington Beach and Bear Mountain,likely,import,
CATALOG_ONLY,,,,,snowboard-world-cup-pre-fis--1991,Snowboard World Cup (pre-FIS),1991,Rusutsu Resort,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1992,Burton US Open Snowboarding Championships,1992,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1993,Burton US Open Snowboarding Championships,1993,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,isf-world-championships--1993,ISF Snowboard World Championships,1993,Ischgl,likely,import,
CATALOG_ONLY,,,,,isf-snowboard-world-championships--1993,ISF World Championships,1993,Ischgl,likely,import,
CATALOG_ONLY,,,,,isf-world-snowboarding-championships--1993,ISF World Snowboarding Championships,1993,Ischgl,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1993,Mt. Baker Legendary Banked Slalom,1993,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,air-and-style--1994-b,Air + Style,1994,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1994,Burton US Open Snowboarding Championships,1994,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1994,Mt. Baker Legendary Banked Slalom,1994,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,air-and-style--1995,Air + Style,1995,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1995,Burton US Open Snowboarding Championships,1995,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--1995,FIS Snowboard World Cup,1995,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1995,Mt. Baker Legendary Banked Slalom,1995,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,air-and-style--1996,Air + Style,1996,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,b4bc-snowboard-and-music-festival--1996,B4BC Snowboard + Music Festival,1996,,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1996,Burton US Open Snowboarding Championships,1996,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--1996,FIS Snowboard World Championships,1996,Lienz,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--1996,FIS Snowboard World Cup,1996,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1996,Mt. Baker Legendary Banked Slalom,1996,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,world-ski-snowboard-festival--1996,World Ski & Snowboard Festival,1996,"Whistler Village, Whistler Mountain and Blackcomb Mountain",verified,import,
CATALOG_ONLY,,,,,air-and-style--1997,Air + Style,1997,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1997,Burton US Open Snowboarding Championships,1997,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--1997,FIS Snowboard Junior World Championships,1997,Corno alle Scale,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--1997,FIS Snowboard World Championships,1997,San Candido (Innichen),verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--1997,FIS Snowboard World Cup,1997,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1997,Mt. Baker Legendary Banked Slalom,1997,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,showcase-showdown--1997,Showcase Showdown,1997,Blackcomb Mountain,likely,import,
CATALOG_ONLY,,,,,toyota-big-air--1997,Toyota Big Air,1997,Makomanai Open Stadium,verified,import,
