event_id,discipline,division_label,division_gender,division_class,division_age_band,event_name,place,rider_name,nationality,score_or_time,notes,sources,confidence,citation_status
air-and-style--2016-a,big-air,,mixed,open,,,1,Sébastien Toutant,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2016-a,big-air,,mixed,open,,,2,Marcus Kleveland,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2016-a,big-air,,mixed,open,,,3,Torgeir Bergrem,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
burton-european-open--2014,halfpipe,,men,open,,,1,Iouri Podladtchikov,SUI,86.30,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,halfpipe,,men,open,,,2,Christian Haller,SUI,84.90,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,halfpipe,,men,open,,,3,Janne Korpi,FIN,,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,halfpipe,,women,open,,,1,Ursina Haller,SUI,92.20,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,halfpipe,,women,open,,,2,Verena Rohrer,SUI,,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,halfpipe,,women,open,,,3,Carla Somaini,SUI,,,"{""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",verified,live-source
burton-european-open--2014,slopestyle,,men,open,,,1,Brage Richenburg,NOR,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2014,slopestyle,,men,open,,,2,Aleks Ostreng,NOR,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2014,slopestyle,,men,open,,,3,Mons Roisland,NOR,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2014,slopestyle,,women,open,,,1,Isabel Derungs,SUI,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2014,slopestyle,,women,open,,,2,Miyabi Onitsuka,JPN,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2014,slopestyle,,women,open,,,3,Elena Konz,SUI,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-results.html""}",likely,live-source
burton-european-open--2015,halfpipe,,men,open,,,1,Iouri Podladtchikov,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,halfpipe,,men,open,,,2,Ayumu Hirano,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,halfpipe,,men,open,,,3,David Habluetzel,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,halfpipe,,women,open,,,1,Kelly Clark,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,halfpipe,,women,open,,,2,Chloe Kim,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,halfpipe,,women,open,,,3,Nadja Purtschert,,,,"{""https://www.snowboarder.com/news/burton-european-open-halfpipe-finals-kelly-clark-iouri-podladtchikov""}",verified,live-source
burton-european-open--2015,slopestyle,,men,open,,,1,Stale Sandbech,NOR,91.4,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
burton-european-open--2015,slopestyle,,men,open,,,2,Mark McMorris,CAN,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
burton-european-open--2015,slopestyle,,men,open,,,3,Torstein Horgmo,NOR,,,"{""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
burton-european-open--2015,slopestyle,,women,open,,,1,Christy Prior,,84.00,,"{""https://www.worldsnowboardfederation.org/stale-sandbech-christy-prior-win-slopestyle-finals-burton-european-open/"",""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
burton-european-open--2015,slopestyle,,women,open,,,2,Jamie Anderson,USA,,,"{""https://www.worldsnowboardfederation.org/stale-sandbech-christy-prior-win-slopestyle-finals-burton-european-open/"",""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
burton-european-open--2015,slopestyle,,women,open,,,3,Enni Rukajarvi,FIN,,,"{""https://www.worldsnowboardfederation.org/stale-sandbech-christy-prior-win-slopestyle-finals-burton-european-open/"",""https://whitelines.com/snowboard-culture/snowboard-events/burton-european-open-laax-2015-slopestyle-final-results.html""}",verified,live-source
laax-open--2017,halfpipe,,men,open,,,1,Chase Josey,USA,97.75,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,halfpipe,,men,open,,,2,Scotty James,AUS,,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,halfpipe,,men,open,,,3,Iouri Podladtchikov,SUI,,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,halfpipe,,women,open,,,1,Chloe Kim,USA,90.50,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,halfpipe,,women,open,,,2,Arielle Gold,USA,,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,halfpipe,,women,open,,,3,Cai Xuetong,CHN,,,"{""https://www.methodmag.com/news/chase-josey-and-chloe-kim-win-laax-open-2017.html"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2017,slopestyle,,men,open,,,1,Max Parrot,CAN,91.58,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2017,slopestyle,,men,open,,,2,Mark McMorris,CAN,88.96,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2017,slopestyle,,men,open,,,3,Tyler Nicholson,CAN,,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2017,slopestyle,,women,open,,,1,Enni Rukajarvi,FIN,84.83,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2017,slopestyle,,women,open,,,2,Anna Gasser,AUT,83.71,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2017,slopestyle,,women,open,,,3,Jamie Anderson,USA,81.50,,"{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2018-19/articlerukajarvi-and-parrot-top-europe-most-prestigious-snowboard-event""}",verified,live-source
laax-open--2018,halfpipe,,men,open,,,1,Iouri Podladtchikov,SUI,90.50,,"{""https://www.fis-ski.com/en/snowboard/freestyle-snowboard/news-multimedia/news/article=liu-and-podladtchikov-win-laax-open-halfpipe-event-kim-and-totsuka-win-2018-halfpipe-world-cup-title"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
laax-open--2018,halfpipe,,men,open,,,2,Yuto Totsuka,JPN,88.25,,"{""https://www.fis-ski.com/en/snowboard/freestyle-snowboard/news-multimedia/news/article=liu-and-podladtchikov-win-laax-open-halfpipe-event-kim-and-totsuka-win-2018-halfpipe-world-cup-title"",""https://laaxopen.com/en/hall-of-fame/""}",verified,live-source
