id,external_ref,name,series_id,year,start_date,end_date,event_type,description,community_status,catalog_status,catalog_status_note,date_precision,venue_name,city,country,disciplines,sources,confidence
air-and-style--2016-a,air-and-style--2016-a,Opel Air + Style Innsbruck 2016,air-and-style,2016,2016,,contest,First year at Olympiaworld rather than in the Bergisel stadium (Onboard's report places the arena in an open car park beside the Bergisel). Strong valley winds forced organisers to cancel the rounds after round two and to score the podium from the three highest combined round-two scores. Collective reports 2016 as the first year women competed at Innsbruck; Method Mag says the first women's field at Innsbruck was 2017. Shaun White announced during the event that the tour would expand to five stops. Exact dates not found in a source I opened.,unverified,held,,year,Olympiaworld Innsbruck,Innsbruck,Austria,"{""big-air""}","{""https://www.innsbruck.info/blog/en/events/air-and-style2016/"",""https://onboardmag.com/news/snowboarding-events/bad-wind-airs-tyle-innsbruck-2016-report-gallery.html"",""https://collectivemag.de/air-style-vom-bergisel-stadion-in-die-ganze-welt-pid16548/""}",likely
air-and-style--2017-a,air-and-style--2017-a,Air + Style Innsbruck-Tirol 2017,air-and-style,2017,2017-02,,contest,"Method Mag calls this the 34th edition and says it was the first year women competed in the Air + Style big air, with 30 men and 8 women plus 16 live music acts over two days. Tiroler Tageszeitung reports the Air+Style contest's history ended in 2017 in the Olympiaworld car park. Edition numbering here (34th) is inconsistent with Wikipedia's numbering (25th for Beijing 2013).",unverified,held,,month,Olympiaworld Innsbruck,Innsbruck,Austria,"{""big-air""}","{""https://www.methodmag.com/news/air-style-festival-innsbruck-tirol-2017.html"",""https://www.tt.com/artikel/16237751/das-erbe-des-air-style-snowboarder-fliegen-wieder-auf-bergisel-ab""}",likely
air-and-style--2017-b,air-and-style--2017-b,Air + Style Beijing 2017,air-and-style,2017,2017-02,,contest,Reported by Sport1 in February 2017; exact dates and venue not stated in the page I opened. [v0.2 flag: the row carries a February 2017 date but the German source dates the Beijing edition 25 November 2017. Unresolved.],unverified,held,,month,,Beijing,China,"{""big-air""}","{""https://www.sport1.de/actionsport/2017/02/air-style-beijing-2017-anna-gasser-and-mark-mcmorris-holen-den-sieg""}",likely
air-and-style--2019,air-and-style--2019,Air + Style Beijing 2019,air-and-style,2019,2019-12,,contest,Run as an FIS big air World Cup (FIS news item dated 15 December 2019). German Wikipedia calls the 2019 Beijing event the 25th and most recent edition of Air & Style. Exact dates and venue not confirmed in a page I opened.,unverified,held,,month,,Beijing,China,"{""big-air""}","{""https://www.fis-ski.com/snowboard-park-and-pipe/news/2019-20/air-style-beijing-big-air-world-cup-2019-20"",""https://de.wikipedia.org/wiki/Air_%26_Style""}",likely
argentina-snowboard-tour--2012,argentina-snowboard-tour--2012,Argentina Snowboard Tour 2012,argentina-snowboard-tour,2012,2012-05,2012-08,contest,"Five events between May and August 2012: urban big airs in Buenos Aires (one of them invitational) plus stops at Cerro Chapelco, Cerro Bayo and Cerro Catedral. All but the invitational open to any rider regardless of nationality or level.",unverified,held,,month,,,Argentina,"{""big-air"",""slopestyle""}","{""https://www.worldsnowboardfederation.org/the-argentina-snowboard-tour-ast/""}",likely
argentina-snowboard-tour--2014,argentina-snowboard-tour--2014,Argentina Snowboard Tour 2014,argentina-snowboard-tour,2014,2014,,contest,"Third tour stop was the Snow Travel South America Snowboard Challenge slopestyle at La Hoya on 20 August 2014, the second time La Hoya hosted it and the final stop of the season for Brazilian riders. Other 2014 stops not listed in the source. Related Argentine events reported the same season: Rip Curl Grom Winter Search and the ALIVE and KICKING Rip Curl Pro (23 Aug) at Cerro Catedral, Bariloche, and the DC Slopestyle Pro at Cerro Chapelco (5 Aug).",unverified,held,,year,,,Argentina,"{""slopestyle"",""big-air""}","{""https://www.worldsnowboardfederation.org/third-tour-stop-argentina-snowboard-tour-2014/"",""https://www.worldsnowboardfederation.org/?s=Argentina""}",likely
audi-nines--2014,audi-nines--2014,Nine Knights & Nine Queens 2014,audi-nines,2014,2014,,contest,"First edition to combine the men's and women's events, and the first with snowboarders on the roster.",unverified,held,,year,Livigno,Livigno,Italy,"{""big-air"",""hip"",""other""}","{""https://www.downdays.eu/articles/audi-nines-retrospective/""}",likely
audi-nines--2016,audi-nines--2016,Suzuki Nine Knights 2016,audi-nines,2016,2016,,contest,"First Nine Knights at Watles; the edition built around the 'Perfect Hip' feature. A separate Nine Queens ran at Serfaus-Fiss-Ladis, Austria the same year.",unverified,held,,year,Watles,"Mals/Malles Venosta, South Tyrol",Italy,"{""hip"",""big-air"",""other""}","{""https://www.downdays.eu/articles/audi-nines-retrospective/""}",likely
audi-nines--2017,audi-nines--2017,Suzuki Nine Royals 2017,audi-nines,2017,2017,,contest,"First official combined men's and women's, ski and snowboard event under the Nine Royals name.",unverified,held,,year,Watles,"Mals/Malles Venosta, South Tyrol",Italy,"{""hip"",""big-air"",""other""}","{""https://www.downdays.eu/articles/audi-nines-retrospective/""}",likely
audi-nines--2018,audi-nines--2018,Audi Nines 2018,audi-nines,2018,2018,,contest,First edition under the Audi Nines name after Audi became title sponsor and the event was rebranded.,unverified,held,,year,Soelden / Obergurgl,"Oetztal, Tirol",Austria,"{""hip"",""big-air"",""other""}","{""https://www.downdays.eu/articles/audi-nines-retrospective/""}",likely
