edition_id,series_id,year,edition_label,start_date,end_date,venue,city,country,disciplines,status,status_note,notes,sources,confidence,source_file
a-robs-smash-life-banked-slalom--2026,a-robs-smash-life-banked-slalom,2026,2026 A-Rob's Smash Life Banked Slalom,2026-03-21,2026-03-21,Lost Trail Powder Mountain,"Sula, Montana",USA,banked-slalom,held,,"Dates from a third-party events roundup, not from the organiser.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
air-and-style--1994-a,air-and-style,1994,1st Red Bull Air & Style,1994-01-17,1994-01-17,Bergisel Stadium,Innsbruck,Austria,big-air,held,,"Inaugural edition, a single straight jump with a USD 10,000 purse. Organisers expected about 100 spectators and over a thousand came. Some sources (World Snowboard Federation, Collective) date the event's founding to 1993; the contest itself is dated 17 January 1994 by Wikipedia and Austria-Forum.",https://en.wikipedia.org/wiki/Air_%26_Style | https://whitelines.com/events/air-style-innsbruck | https://austria-forum.org/af/AustriaWiki/Air_&_Style,verified,world-tours
air-and-style--1994-b,air-and-style,1994,2nd Red Bull Air & Style,1994-12-19,1994-12-19,Bergisel Stadium,Innsbruck,Austria,big-air,held,,"Second edition held in the same calendar year as the first, after the contest moved to a December date; belongs to the 1994/95 season.",https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--1995,air-and-style,1995,3rd Red Bull Air & Style,1995-12-09,1995-12-09,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--1996,air-and-style,1996,4th Quiksilver Air & Style,1996-12-07,1996-12-07,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--1997,air-and-style,1997,5th Quiksilver Air & Style,1997-12-06,1997-12-06,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--1998,air-and-style,1998,6th G-Shock Air & Style,1998-12-05,1998-12-05,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--1999,air-and-style,1999,7th G-Shock Air & Style,1999-12-04,1999-12-04,Bergisel Stadium,Innsbruck,Austria,big-air,held,,"Over 45,000 spectators. A crowd crush as the venue emptied after the show killed five people; a sixth, one of five badly injured teenagers, died four years later of the consequences. A court found that Tyrol and the city of Innsbruck should have cancelled the event because the venue was unsafe. Innsbruck refused permission for further events and the contest moved to Seefeld.",https://en.wikipedia.org/wiki/Air_%26_Style | https://austria-forum.org/af/AustriaWiki/Air_&_Style,verified,world-tours
air-and-style--2000,air-and-style,2000,8th G-Shock Air & Style,2000-12-09,2000-12-09,Seefeld,Seefeld in Tirol,Austria,big-air,held,,"First edition after the move from Innsbruck to Seefeld, under a five-year contract.",https://en.wikipedia.org/wiki/Air_%26_Style | https://austria-forum.org/af/AustriaWiki/Air_&_Style,verified,world-tours
air-and-style--2001,air-and-style,2001,9th Nokia Air & Style,2001-12-15,2001-12-15,Seefeld,Seefeld in Tirol,Austria,big-air,held,,A separate Air & Style skateboard contest was held at the Seefeld Olympic stadium on the same date.,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2002,air-and-style,2002,10th Nokia Air & Style,2002-12-14,2002-12-14,Seefeld,Seefeld in Tirol,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2003,air-and-style,2003,11th Nokia Air & Style,2003-12-11,2003-12-12,Seefeld,Seefeld in Tirol,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2004,air-and-style,2004,12th Nokia Air & Style,2004-12-11,2004-12-12,Seefeld,Seefeld in Tirol,Austria,big-air,held,,Last Seefeld edition before the move to Munich.,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2005,air-and-style,2005,13th Nokia Air & Style,2005-12-03,2005-12-03,Olympiastadion,Munich,Germany,big-air,held,,First Munich edition.,https://en.wikipedia.org/wiki/Air_%26_Style | https://austria-forum.org/af/AustriaWiki/Air_&_Style,verified,world-tours
air-and-style--2006,air-and-style,2006,14th Nokia Air & Style,2006-12-06,2006-12-06,Olympiastadion,Munich,Germany,big-air,held,,Whitelines credits Travis Rice with the first double backflip backside 180 at Air & Style in 2006.,https://en.wikipedia.org/wiki/Air_%26_Style | https://whitelines.com/events/air-style-innsbruck,verified,world-tours
air-and-style--2007,air-and-style,2007,15th Nokia Air & Style,2007-12-01,2007-12-01,Olympiastadion,Munich,Germany,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2008-a,air-and-style,2008,"1st Billabong Air & Style quarterpipe, Innsbruck",2008-02-02,2008-02-02,Bergisel Stadium,Innsbruck,Austria,quarterpipe,held,,"Air & Style returned to the Bergisel with a quarterpipe format, numbered separately from the big air series.",https://en.wikipedia.org/wiki/Air_%26_Style | https://austria-forum.org/af/AustriaWiki/Air_&_Style,verified,world-tours
air-and-style--2008-b,air-and-style,2008,"16th Air & Style, Munich",2008-11-29,2008-11-29,Olympiastadion,Munich,Germany,big-air,cancelled,Cancelled due to a last-minute sponsorship pullout.,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2009-a,air-and-style,2009,"2nd Billabong Air & Style quarterpipe, Innsbruck",2009-01-31,2009-01-31,Bergisel Stadium,Innsbruck,Austria,quarterpipe,held,,Second and last of the standalone quarterpipe editions.,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2009-b,air-and-style,2009,"17th Billabong Air & Style, Innsbruck",2009-12-05,2009-12-05,Bergisel Stadium,Innsbruck,Austria,big-air,held,,Whitelines records Marko Grilc winning with a double cork.,https://en.wikipedia.org/wiki/Air_%26_Style | https://whitelines.com/events/air-style-innsbruck,verified,world-tours
air-and-style--2010,air-and-style,2010,"18th Air & Style, Beijing",2010-12-04,2010-12-04,,Beijing,China,big-air,held,,"First Beijing edition, branded 'Oakley & Shaun White Present Air & Style'; the start of the China expansion and of Shaun White's involvement with the event.",https://en.wikipedia.org/wiki/Air_%26_Style | https://collectivemag.de/air-style-vom-bergisel-stadion-in-die-ganze-welt-pid16548/,verified,world-tours
air-and-style--2011-a,air-and-style,2011,"19th Billabong Air & Style, Innsbruck",2011-02-05,2011-02-05,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2011-b,air-and-style,2011,"20th Nike 6.0 Air & Style, Munich",2011-02-12,2011-02-12,Olympiastadion,Munich,Germany,big-air,held,,Last Munich edition recorded by Wikipedia.,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2011-c,air-and-style,2011,"21st Air & Style, Beijing",2011-12-03,2011-12-03,,Beijing,China,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2012-a,air-and-style,2012,"22nd Billabong Air & Style, Innsbruck",2012-02-04,2012-02-04,Bergisel Stadium,Innsbruck,Austria,big-air,held,,,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2012-b,air-and-style,2012,"23rd Air & Style, Beijing",2012-12-08,2012-12-08,,Beijing,China,big-air,held,,Mark McMorris and Yuki Kadono landed the first triple corks at an Air & Style event.,https://en.wikipedia.org/wiki/Air_%26_Style | https://www.worldsnowboardfederation.org/air-style-anniversary-from-innsbruck-to-china-on-to-mexico/,verified,world-tours
air-and-style--2013-a,air-and-style,2013,"24th Billabong Air & Style, Innsbruck",2013-02-01,2013-02-02,Bergisel Stadium,Innsbruck,Austria,big-air,held,,Run as the event's 20th anniversary celebration.,https://en.wikipedia.org/wiki/Air_%26_Style | https://www.worldsnowboardfederation.org/air-style-anniversary-from-innsbruck-to-china-on-to-mexico/,verified,world-tours
air-and-style--2013-b,air-and-style,2013,Air & Style Mexico City,2013-05-24,2013-05-25,,Mexico City,Mexico,big-air,held,,Announced by the World Snowboard Federation as the first Air & Style event in Latin America. Not listed in the Wikipedia edition table and not independently confirmed as having taken place.,https://www.worldsnowboardfederation.org/air-style-anniversary-from-innsbruck-to-china-on-to-mexico/,likely,world-tours
air-and-style--2013-c,air-and-style,2013,"25th Air & Style, Beijing",2013-12-07,2013-12-07,,Beijing,China,big-air,held,,Last edition in the English Wikipedia edition table.,https://en.wikipedia.org/wiki/Air_%26_Style,verified,world-tours
air-and-style--2014,air-and-style,2014,Air + Style Beijing 2014,2014-12-05,2014-12-06,,Beijing,China,big-air,held,,"Opening stop of the three-city 2014/15 Air + Style tour, the first season with Shaun White as majority owner.",https://www.snowboarder.com/news/shaun-white-air-and-style-los-angeles-february-21-22-2015 | https://collectivemag.de/air-style-vom-bergisel-stadion-in-die-ganze-welt-pid16548/,verified,world-tours
air-and-style--2015-a,air-and-style,2015,Air + Style Innsbruck 2015,2015-01-16,2015-01-17,,Innsbruck,Austria,big-air,held,,Second stop of the 2014/15 tour. Tiroler Tageszeitung reports 2015 as the last year of Air+Style snowboard action at the Bergisel stadium itself.,https://www.snowboarder.com/news/shaun-white-air-and-style-los-angeles-february-21-22-2015 | https://www.tt.com/artikel/16237751/das-erbe-des-air-style-snowboarder-fliegen-wieder-auf-bergisel-ab,verified,world-tours
air-and-style--2015-b,air-and-style,2015,Air + Style Los Angeles 2015,2015-02-21,2015-02-22,Rose Bowl parking lot,Pasadena,United States,big-air,held,,"First Air + Style in North America and the finale of the 2014/15 tour, built on a 16-storey scaffold with a 70 ft jump.",https://www.snowboarder.com/news/shaun-white-air-and-style-los-angeles-february-21-22-2015,verified,world-tours
air-and-style--2015-c,air-and-style,2015,Air + Style Beijing 2015,2015-12-05,,Beijing Olympic Sports Centre,Beijing,China,big-air,held,,Beijing stop of the 2015/16 Air + Style tour; not present in the wave-1 edition list.,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,likely,wave2-japan-europe
