id,external_ref,name,series_id,year,start_date,end_date,event_type,description,community_status,catalog_status,catalog_status_note,date_precision,venue_name,city,country,disciplines,sources,confidence
a-robs-smash-life-banked-slalom--2026,a-robs-smash-life-banked-slalom--2026,2026 A-Rob's Smash Life Banked Slalom,a-robs-smash-life-banked-slalom,2026,2026-03-21,2026-03-21,contest,"Dates from a third-party events roundup, not from the organiser.",unverified,held,,day,Lost Trail Powder Mountain,"Sula, Montana",USA,"{""banked-slalom""}","{""https://localfreshies.com/banked-slalom-event-showcase/""}",likely
air-and-style--1994-a,air-and-style--1994-a,1st Red Bull Air & Style,air-and-style,1994,1994-01-17,1994-01-17,contest,"Inaugural edition, a single straight jump with a USD 10,000 purse. Organisers expected about 100 spectators and over a thousand came. Some sources (World Snowboard Federation, Collective) date the event's founding to 1993; the contest itself is dated 17 January 1994 by Wikipedia and Austria-Forum.",verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style"",""https://whitelines.com/events/air-style-innsbruck"",""https://austria-forum.org/af/AustriaWiki/Air_&_Style""}",verified
air-and-style--1994-b,air-and-style--1994-b,2nd Red Bull Air & Style,air-and-style,1994,1994-12-19,1994-12-19,contest,"Second edition held in the same calendar year as the first, after the contest moved to a December date; belongs to the 1994/95 season.",verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
air-and-style--1995,air-and-style--1995,3rd Red Bull Air & Style,air-and-style,1995,1995-12-09,1995-12-09,contest,,verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
air-and-style--1996,air-and-style--1996,4th Quiksilver Air & Style,air-and-style,1996,1996-12-07,1996-12-07,contest,,verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
air-and-style--1997,air-and-style--1997,5th Quiksilver Air & Style,air-and-style,1997,1997-12-06,1997-12-06,contest,,verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
air-and-style--1998,air-and-style--1998,6th G-Shock Air & Style,air-and-style,1998,1998-12-05,1998-12-05,contest,,verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
air-and-style--1999,air-and-style--1999,7th G-Shock Air & Style,air-and-style,1999,1999-12-04,1999-12-04,contest,"Over 45,000 spectators. A crowd crush as the venue emptied after the show killed five people; a sixth, one of five badly injured teenagers, died four years later of the consequences. A court found that Tyrol and the city of Innsbruck should have cancelled the event because the venue was unsafe. Innsbruck refused permission for further events and the contest moved to Seefeld.",verified,held,,day,Bergisel Stadium,Innsbruck,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style"",""https://austria-forum.org/af/AustriaWiki/Air_&_Style""}",verified
air-and-style--2000,air-and-style--2000,8th G-Shock Air & Style,air-and-style,2000,2000-12-09,2000-12-09,contest,"First edition after the move from Innsbruck to Seefeld, under a five-year contract.",verified,held,,day,Seefeld,Seefeld in Tirol,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style"",""https://austria-forum.org/af/AustriaWiki/Air_&_Style""}",verified
air-and-style--2001,air-and-style--2001,9th Nokia Air & Style,air-and-style,2001,2001-12-15,2001-12-15,contest,A separate Air & Style skateboard contest was held at the Seefeld Olympic stadium on the same date.,verified,held,,day,Seefeld,Seefeld in Tirol,Austria,"{""big-air""}","{""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified
