edition_id,discipline,division,division_label,division_age_band,division_class,division_gender,event_name,place,rider_name,nationality,score_or_time,notes,sources,confidence,source_file,citation_status
air-and-style--1994-a,big-air,open,,,open,mixed,,1,Reto Lamm,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1994-a,big-air,open,,,open,mixed,,2,Bryan Iguchi,,,"[tie recorded by the source: Iguchi and Palmer finished punktegleich in 2nd, so the inaugural edition has no 3rd place]",https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1994-a,big-air,open,,,open,mixed,,2,Shaun Palmer,,,"[tie recorded by the source: Iguchi and Palmer finished punktegleich in 2nd, so the inaugural edition has no 3rd place]",https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1994-b,big-air,open,,,open,mixed,,1,Ingemar Backman,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1994-b,big-air,open,,,open,mixed,,2,Johan Olofsson,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1994-b,big-air,open,,,open,mixed,,3,Terje Håkonsen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1995,big-air,open,,,open,mixed,,1,Terje Håkonsen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1995,big-air,open,,,open,mixed,,2,Jamie Lynn,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1995,big-air,open,,,open,mixed,,3,Daniel Franck,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1996,big-air,open,,,open,mixed,,1,Fabien Rohrer,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1996,big-air,open,,,open,mixed,,2,Daniel Franck,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1996,big-air,open,,,open,mixed,,3,Johan Olofsson,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1997,big-air,open,,,open,mixed,,1,Jim Rippey,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1997,big-air,open,,,open,mixed,,2,Jamie Lynn,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1997,big-air,open,,,open,mixed,,3,Michi Albin,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1997,quarterpipe,open,,,open,mixed,,1,Terje Håkonsen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1997,quarterpipe,open,,,open,mixed,,2,Sebu Kuhlberg,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
