table,id,field,kept_from,kept,other_from,other
series,world-snowboarding-championships,governing_body,world-tours,TTR / World Snowboard Federation,intl-other,WSF / TTR Pro Snowboarding
series,world-snowboarding-championships,disciplines,world-tours,halfpipe | slopestyle,intl-other,halfpipe | slopestyle | big-air | quarterpipe
series,world-snowboarding-championships,significance,world-tours,"Rider-side world championship developed and owned by TTR and the World Snowboard Federation, approved by unanimous vote at the TTR and WSF general assemblies in Barcelona in May 2010. The first edition, in Oslo in February 2012, was described as the first championships run by snowboarders since 1999; the 2011 Oakley Arctic Challenge was staged as its trial event. The local organising company Snowboard-VM 2012 AS was owned by The Arctic Challenge, the Norwegian Snowboard Federation and Oslo Vinterpark.",intl-other,"The rider-side world championship jointly created by the World Snowboard Federation and TTR Pro Snowboarding, intended to run every four years. The first was held in Oslo in 2012; the second, badged The World Championships of Snowboarding, in Yabuli, China in 2016, where the TTR tour champions were also crowned."
series,world-snowboarding-championships,confidence,world-tours,verified,intl-other,likely
series,world-rookie-finals,former_names,world-tours,Völkl World Rookie Finals | World Rookie Snowboard Finals,intl-other,Volkl World Rookie Fest | Protest World Rookie Final | Volkl World Rookie Finals
series,world-rookie-finals,governing_body,world-tours,World Snowboard Federation / Black Yeti,intl-other,WSF (World Snowboard Federation)
series,world-rookie-finals,country,world-tours,multiple,intl-other,Austria
series,world-rookie-finals,disciplines,world-tours,slopestyle | halfpipe | big-air,intl-other,slopestyle | halfpipe
series,world-rookie-finals,significance,world-tours,"Season-closing event of the World Rookie Tour, held in an Alpine resort in spring, where the World Rookie Champion titles are awarded in the Rookie and Grom divisions. It carried a 3Star TTR rating in 2015. Host resorts have included Ischgl (2015) and Kitzsteinhorn (2025).",intl-other,"Season-ending championship of the World Rookie Tour, the WSF's under-18 development circuit fronted by the Black Yeti mascot. Held at Ischgl, Austria from at least 2008 to 2015, then at the Kitzsteinhorn in Kaprun/Zell am See from 2017. Riders qualify through Rookie Fest events on several continents; Roope Tonteri, Sven Thorgren, Christian Haller and Gjermund Braaten are among past champions."
series,x-trail-jam,series_name,world-tours,Nissan X-Trail Jam,intl-other,X-TRAIL JAM in TOKYO DOME
series,x-trail-jam,former_names,world-tours,X-Trail Jam in Tokyo Dome,intl-other,Nissan X-Trail Jam | NISSAN X-TRAIL e-4ORCE RAIL JAM
series,x-trail-jam,governing_body,world-tours,TTR,intl-other,independent
series,x-trail-jam,status,world-tours,defunct,intl-other,revived
series,x-trail-jam,disciplines,world-tours,quarterpipe | big-air,intl-other,quarterpipe | big-air | rail-jam
series,x-trail-jam,significance,world-tours,"Indoor stadium contest launched in the Tokyo Dome in 2001, running a quarterpipe and a straight-jump (big air) event on real snow trucked into the baseball stadium. Reto Lamm - the first Air & Style winner and later TTR Pro Snowboarding president - is credited as president and main developer. It became a TTR 6Star event.",intl-other,"Indoor snowboard contest built inside the Tokyo Dome, run each December (plus an opening January 2001 edition) and treated in Japan as the ceremonial start of the season. Contested in quarterpipe and straight jump (the pre-big-air term used at the time) and rated a TTR 6-Star in the tour era, with Reto Lamm as president and course developer. Discontinued after 2008 and revived in 2023 as an outdoor street/rail jam at Palcall Tsumagoi."
edition,world-snowboarding-championships--2012,edition_label,world-tours,2012 World Snowboarding Championships,intl-other,2012 TTR World Snowboarding Championships
edition,world-snowboarding-championships--2012,disciplines,world-tours,slopestyle | halfpipe,intl-other,quarterpipe
edition,world-snowboarding-championships--2012,notes,world-tours,"Organised by Snowboard-VM 2012 AS, owned by The Arctic Challenge, the Norwegian Snowboard Federation and Oslo Vinterpark. Described as the first world championships run by snowboarders since 1999. The Arctic Challenge did not run under its own name in 2012 as far as the sources I opened show.",intl-other,"First ever TTR World Snowboarding Championships, conceived as a pinnacle event to run every four years, with over 200 riders. Opened with a quarterpipe exhibition contest in which Terje Haakonsen competed. WSF report dated 23 February 2012; exact competition dates not given in the source."
edition,world-snowboarding-championships--2012,confidence,world-tours,verified,intl-other,likely
edition,world-rookie-finals--2015,edition_label,world-tours,Völkl World Rookie Finals 2015,intl-other,"2015 Volkl World Rookie Finals, Ischgl"
edition,world-rookie-finals--2015,city,world-tours,Ischgl,intl-other,"Ischgl, Tirol"
edition,world-rookie-finals--2015,disciplines,world-tours,slopestyle,intl-other,slopestyle | halfpipe
edition,world-rookie-finals--2015,notes,world-tours,3Star TTR event where the World Rookie Champion titles were awarded. Exact dates not given in the source.,intl-other,Last Ischgl edition found in the WSF archive; a 12-minute TV show was produced from it.
edition,x-trail-jam--2001-a,edition_label,world-tours,"X-Trail Jam, January 2001",intl-other,X-TRAIL JAM in TOKYO DOME (January 2001)
edition,x-trail-jam--2001-a,notes,world-tours,"Launch edition. Wikipedia's results table lists two 2001 events, January and December, so the contest ran twice in the calendar year as it shifted to a December slot.",intl-other,First edition. Two editions ran in calendar 2001 as the event settled into a December slot.
edition,x-trail-jam--2001-a,confidence,world-tours,verified,intl-other,likely
edition,x-trail-jam--2001-b,edition_label,world-tours,"X-Trail Jam, December 2001",intl-other,X-TRAIL JAM in TOKYO DOME (December 2001)
edition,x-trail-jam--2001-b,notes,world-tours,Second event of the 2001 calendar year; belongs to the 2001/02 season.,intl-other,"Second edition, opening the 2001/02 season."
edition,x-trail-jam--2001-b,confidence,world-tours,verified,intl-other,likely
edition,x-trail-jam--2002,edition_label,world-tours,X-Trail Jam 2002,intl-other,X-TRAIL JAM in TOKYO DOME 2002
