action,id,change
new_edition,ttr-world-snowboard-tour--2003,added from the Wayback archive
new_edition,ttr-world-snowboard-tour--2004,added from the Wayback archive
new_edition,ttr-world-snowboard-tour--2006,added from the Wayback archive
new_edition,ttr-world-snowboard-tour--2008,added from the Wayback archive
new_edition,ttr-world-snowboard-tour--2012,added from the Wayback archive
new_edition,ttr-world-snowboard-tour--2015,added from the Wayback archive
new_edition,burton-european-open--2007,added from the Wayback archive
edition_update,mt-baker-legendary-banked-slalom--2006,start_date: filled '2006-02-03'
edition_update,mt-baker-legendary-banked-slalom--2006,end_date: filled '2006-02-05'
edition_update,mt-baker-legendary-banked-slalom--2008,start_date: filled '2008-02-08'
edition_update,mt-baker-legendary-banked-slalom--2008,end_date: filled '2008-02-10'
edition_update,mt-baker-legendary-banked-slalom--2009,start_date: filled '2009-02-06'
edition_update,mt-baker-legendary-banked-slalom--2009,end_date: filled '2009-02-08'
edition_update,mt-baker-legendary-banked-slalom--2010,start_date: filled '2010-02-05'
edition_update,mt-baker-legendary-banked-slalom--2010,end_date: filled '2010-02-07'
edition_update,mt-baker-legendary-banked-slalom--2011,start_date: filled '2011-02-11'
edition_update,mt-baker-legendary-banked-slalom--2011,end_date: filled '2011-02-13'
edition_update,mt-baker-legendary-banked-slalom--2012,start_date: filled '2012-02-10'
edition_update,mt-baker-legendary-banked-slalom--2012,end_date: filled '2012-02-12'
edition_update,mt-baker-legendary-banked-slalom--2013,start_date: filled '2013-02-08'
edition_update,mt-baker-legendary-banked-slalom--2013,end_date: filled '2013-02-10'
edition_update,mt-baker-legendary-banked-slalom--2014,start_date: filled '2014-02-07'
edition_update,mt-baker-legendary-banked-slalom--2014,end_date: filled '2014-02-09'
edition_update,mt-baker-legendary-banked-slalom--2017,start_date: '2017-02' -> '2017-02-10' (archive source overrides)
edition_update,mt-baker-legendary-banked-slalom--2017,end_date: '2017-02' -> '2017-02-12' (archive source overrides)
edition_update,mt-baker-legendary-banked-slalom--2018,start_date: filled '2018-02-09'
edition_update,mt-baker-legendary-banked-slalom--2018,end_date: filled '2018-02-11'
edition_update,mt-baker-legendary-banked-slalom--2019,start_date: filled '2019-02-08'
edition_update,mt-baker-legendary-banked-slalom--2019,end_date: filled '2019-02-10'
edition_update,mt-baker-legendary-banked-slalom--2020,start_date: filled '2020-02-07'
edition_update,mt-baker-legendary-banked-slalom--2020,end_date: filled '2020-02-09'
edition_update,mt-baker-legendary-banked-slalom--2015,"status_note: 'Cancelled for poor snow conditions in the 2014-15 low-snow winter.' -> 'The 30th Legendary Banked Slalom, scheduled for 2015, was postponed to 18-21 February 2016 for lack of snow. The organisers announced a scaled-down two-day substitute, the ""29½ Banked Slalom"", for 21-22 March 2015, and then cancelled that too in a 18 March update.' (archive source overrides)"
edition_update,mt-baker-legendary-banked-slalom--2015,"notes: ""Intended as the 30th anniversary edition. Mount Baker Experience reports it was first pushed from mid-February to March 19-22, 2015 and then not run; the 30th was held in February 2016 instead. No 2015 entries appear on the Honor Roll. [v0.3 archive: Replaces the generic 'cancelled for poor snow' note with the organiser's own account, including the 29½ substitute race that was announced and then also cancelled.]"" -> 'Intended as the 30th Legendary Banked Slalom. The 30th ran instead in February 2016. A substitute ""29½ Banked Slalom"" (one Saturday qualifying run, two Sunday finals runs) was announced for 21-22 March 2015 and cancelled on 18 March 2015.' (archive source overrides)"
edition_update,mt-baker-legendary-banked-slalom--2021,"status_note: 'Cancelled because of the COVID-19 pandemic.' -> 'The 35th Legendary Banked Slalom was scheduled for 5-6-7 February 2021 and then postponed to 2022 because of COVID-19; the organisers\' word was ""postponed"", not cancelled.' (archive source overrides)"
edition_update,mt-baker-legendary-banked-slalom--2022,"status_note: 'Cancelled because of the COVID-19 pandemic.' -> 'The 35th Legendary Banked Slalom was rescheduled to 11-12-13 February 2022 and then postponed again, to 2023.' (archive source overrides)"
edition_update,mt-baker-legendary-banked-slalom--2024,status: 'postponed' -> 'cancelled' (archive source overrides)
edition_update,mt-baker-legendary-banked-slalom--2024,"status_note: 'Postponed for lack of snow after an El Nino winter; warm storms and rain cut about 14 inches off the base in three days.' -> 'Scheduled as the 36th Legendary Banked Slalom for 9-10-11 February 2024, then re-scheduled to February 2025.' (archive source overrides)"
edition_update,mt-baker-legendary-banked-slalom--2026,status: 'postponed' -> 'cancelled' (archive source overrides)
edition_update,mt-baker-legendary-banked-slalom--2026,"status_note: 'Postponed to February 2027 because of an unworkable snowpack in the Natural Halfpipe: warm January weather and rain left icy, chunky banks with exposed rock and dirt despite over 100 inches of base at the summit.' -> 'Scheduled as the 37th Legendary Banked Slalom for 6-7-8 February 2026, then postponed to 19-21 February 2027.' (archive source overrides)"
edition_update,us-open-snowboarding--2003,start_date: '2003-03' -> '2003-03-11' (archive source overrides)
edition_update,us-open-snowboarding--2003,end_date: filled '2003-03-16'
edition_update,us-open-snowboarding--2004,start_date: filled '2004-03-16'
edition_update,us-open-snowboarding--2004,end_date: filled '2004-03-21'
edition_update,us-open-snowboarding--2005,start_date: filled '2005-03-14'
edition_update,us-open-snowboarding--2005,end_date: filled '2005-03-20'
edition_update,us-open-snowboarding--2006,start_date: filled '2006-03-14'
edition_update,us-open-snowboarding--2006,end_date: filled '2006-03-19'
edition_update,us-open-snowboarding--2007,start_date: filled '2007-03-12'
edition_update,us-open-snowboarding--2007,end_date: filled '2007-03-18'
edition_update,us-open-snowboarding--2010,start_date: '2010-03' -> '2010-03-16' (archive source overrides)
edition_update,us-open-snowboarding--2010,end_date: '2010-03-20' -> '2010-03-21' (archive source overrides)
edition_update,burton-european-open--2003,start_date: filled '2003-01-18'
edition_update,burton-european-open--2003,end_date: filled '2003-01-25'
edition_update,burton-european-open--2004,start_date: filled '2004-01-10'
edition_update,burton-european-open--2004,end_date: filled '2004-01-17'
edition_update,burton-european-open--2005,start_date: filled '2005-01-15'
edition_update,burton-european-open--2005,end_date: filled '2005-01-22'
edition_update,burton-european-open--2006,start_date: filled '2006-01-14'
edition_update,burton-european-open--2006,end_date: filled '2006-01-21'
supersede,mt-baker-legendary-banked-slalom,"98 Honor Roll rows across 7 editions replaced by the archived per-division finals pages, which give places 1-3, times and the exact division wording"
fix,mt-baker-legendary-banked-slalom--2007,Larry Freeman: 'Grand Masters Women Ages 50+' -> 'SUPER MASTERS AGES 60+'
fix,mt-baker-legendary-banked-slalom--2009,Bob Satushek: 'Grand Masters Women Ages 50+' -> 'SUPER MASTERS AGES 60+'
fix,mt-baker-legendary-banked-slalom--2010,Bob Satushek: 'Grand Masters Women Ages 50+' -> 'SUPER MASTERS AGES 60+'
dedupe,us-open-snowboarding--1984,"Andy Coghlan downhill: kept division='open', dropped mens"
dedupe,us-open-snowboarding--1984,"Andy Coghlan slalom: kept division='open', dropped mens"
