count,division,division_label
23,pro,(none)
17,juniors,Juniors Ages 12-15
17,juniors,Younger Amateurs Ages 16-19
13,groms,Next Gen Ages 11 & Under
12,am,Older Amateurs
12,masters,Grand Masters
12,masters,Mid Masters
9,groms,Next Generation
9,juniors,Juniors
9,masters,Masters
9,masters,Pro Masters
9,juniors,Younger Amateurs
6,masters,(none)
6,am,(none)
3,juniors,Junior's Halfpipe Finals
3,juniors,Junior's Slopestyle Finals
3,groms,Groms
3,masters,Gentlemen's Snowboard (35-49)
3,masters,Older & Wiser (Ages 50+)
3,masters,SUPER MASTERS AGES 60+
3,am,OLDER AMATEURS • ages 20 - 29
3,groms,NEXT GENERATION • ages 11 & under
3,juniors,JUNIORS • ages 12 - 15
3,juniors,YOUNGER AMATEURS • ages 16 - 19
3,masters,GRAND MASTERS • ages 50 - 59
3,masters,MASTERS • ages 30 - 39
3,masters,MID MASTERS • ages 40 - 49
3,masters,PRO MASTERS • ages 32 & up
3,masters,SUPER MASTERS • ages 60 & up
3,groms,NEXT GENERATION • AGES 11 & UNDER
3,juniors,JUNIORS • AGES 12 - 15
3,masters,GRAND MASTERS • AGES 50 - 59
3,masters,MASTERS • AGES 30 - 39
3,masters,MID MASTERS • AGES 40 - 49
3,masters,PRO MASTERS • AGES 32 & UP
3,juniors,Younger Ams
3,masters,Super Masters
3,am,Old Amateur (ages 20-29)
3,juniors,Young Amateur (ages 16-19)
3,am,Older Amateurs (20-29)
3,juniors,Younger Amateurs (16-19)
3,masters,Grand Masters (50 & Up)
3,masters,Masters (30-39)
3,masters,Pro Legends (50 & Up)
3,masters,Pro Masters (35 & 49)
3,masters,SUPER MASTERS (ages 60+)
3,juniors,Junior'S Downhill
3,juniors,Junior'S Slalom
3,juniors,Junior'S Junior Jam
2,masters,SUPER MASTERS • AGES 60 & UP
